"peak_number","name","formula","annot_delta_mass_ppm","calc_mw","m_z","rt_min","sample_location"
1461,"DM 235","C14 H18 N2 O2",0.41,246.13693,247.14421,9.546,"sc015"
677,"DM 235","C14 H18 N2 O2",0.47,246.13694,247.14422,8.121,"sc016"
677,"DM 235","C14 H18 N2 O2",0.47,246.13694,247.14422,8.121,"sc020"
401,"DM 235","C14 H18 N2 O2",0.49,246.13695,247.14423,10.88,"sc023"
1278,"Dabigatran etexilate","C34 H41 N7 O5",-2.15,627.31557,628.32284,13.964,"sc003"
1278,"Dabigatran etexilate","C34 H41 N7 O5",-2.15,627.31557,628.32284,13.964,"sc008"
1278,"Dabigatran etexilate","C34 H41 N7 O5",-2.15,627.31557,628.32284,13.964,"sc014"
1278,"Dabigatran etexilate","C34 H41 N7 O5",-2.15,627.31557,628.32284,13.964,"sc016"
5388,"Dacarbazine","C6 H10 N6 O",1.88,182.09195,183.09923,9.13,"sc007"
6413,"Dacarbazine","C6 H10 N6 O",1.99,182.09197,183.09925,11.035,"sc008"
5605,"Danegaptide","C14 H17 N3 O4",0.77,291.12213,292.12941,8.366,"sc015"
5605,"Danegaptide","C14 H17 N3 O4",0.77,291.12213,292.12941,8.366,"sc023"
1484,"De(methylpiperazinyl) sildenafil","C17 H20 N4 O5 S",0.15,392.1155,393.12277,12.955,"sc003"
1484,"De(methylpiperazinyl) sildenafil","C17 H20 N4 O5 S",0.15,392.1155,393.12277,12.955,"sc004"
1484,"De(methylpiperazinyl) sildenafil","C17 H20 N4 O5 S",0.15,392.1155,393.12277,12.955,"sc008"
1484,"De(methylpiperazinyl) sildenafil","C17 H20 N4 O5 S",0.15,392.1155,393.12277,12.955,"sc014"
1484,"De(methylpiperazinyl) sildenafil","C17 H20 N4 O5 S",0.15,392.1155,393.12277,12.955,"sc015"
1484,"De(methylpiperazinyl) sildenafil","C17 H20 N4 O5 S",0.15,392.1155,393.12277,12.955,"sc023"
515,"Debrisoquin","C10 H13 N3",0.34,175.11101,176.1183,4.993,"sc003"
515,"Debrisoquin","C10 H13 N3",0.34,175.11101,176.1183,4.993,"sc004"
2102,"Debrisoquin","C10 H13 N3",1.3,175.11117,176.11845,6.465,"sc007"
515,"Debrisoquin","C10 H13 N3",0.34,175.11101,176.1183,4.993,"sc009"
515,"Debrisoquin","C10 H13 N3",0.34,175.11101,176.1183,4.993,"sc010"
515,"Debrisoquin","C10 H13 N3",0.34,175.11101,176.1183,4.993,"sc011"
2102,"Debrisoquin","C10 H13 N3",1.3,175.11117,176.11845,6.465,"sc012"
515,"Debrisoquin","C10 H13 N3",0.34,175.11101,176.1183,4.993,"sc013"
515,"Debrisoquin","C10 H13 N3",0.34,175.11101,176.1183,4.993,"sc015"
515,"Debrisoquin","C10 H13 N3",0.34,175.11101,176.1183,4.993,"sc018"
515,"Debrisoquin","C10 H13 N3",0.34,175.11101,176.1183,4.993,"sc023"
6809,"Decanamide","C10 H21 N O",0.33,171.16237,172.16965,16.985,"sc001"
1464,"Decanamide","C10 H21 N O",0.34,171.16237,172.16965,14.553,"sc003"
1464,"Decanamide","C10 H21 N O",0.34,171.16237,172.16965,14.553,"sc004"
6809,"Decanamide","C10 H21 N O",0.33,171.16237,172.16965,16.985,"sc005"
1464,"Decanamide","C10 H21 N O",0.34,171.16237,172.16965,14.553,"sc007"
1464,"Decanamide","C10 H21 N O",0.34,171.16237,172.16965,14.553,"sc008"
1464,"Decanamide","C10 H21 N O",0.34,171.16237,172.16965,14.553,"sc014"
1464,"Decanamide","C10 H21 N O",0.34,171.16237,172.16965,14.553,"sc016"
1464,"Decanamide","C10 H21 N O",0.34,171.16237,172.16965,14.553,"sc020"
1464,"Decanamide","C10 H21 N O",0.34,171.16237,172.16965,14.553,"sc023"
3279,"Decanedioic acid","C10 H18 O4",0.37,202.12058,225.10982,14.392,"sc001"
3279,"Decanedioic acid","C10 H18 O4",0.37,202.12058,225.10982,14.392,"sc005"
3279,"Decanedioic acid","C10 H18 O4",0.37,202.12058,225.10982,14.392,"sc011"
3279,"Decanedioic acid","C10 H18 O4",0.37,202.12058,225.10982,14.392,"sc017"
3279,"Decanedioic acid","C10 H18 O4",0.37,202.12058,225.10982,14.392,"sc018"
7782,"Decanophenone","C16 H24 O",0.42,232.18281,233.19009,20.157,"sc002"
392,"Decanophenone","C16 H24 O",0.53,232.18284,233.19012,17.946,"sc003"
392,"Decanophenone","C16 H24 O",0.53,232.18284,233.19012,17.946,"sc004"
392,"Decanophenone","C16 H24 O",0.53,232.18284,233.19012,17.946,"sc007"
392,"Decanophenone","C16 H24 O",0.53,232.18284,233.19012,17.946,"sc008"
392,"Decanophenone","C16 H24 O",0.53,232.18284,233.19012,17.946,"sc014"
392,"Decanophenone","C16 H24 O",0.53,232.18284,233.19012,17.946,"sc015"
392,"Decanophenone","C16 H24 O",0.53,232.18284,233.19012,17.946,"sc016"
392,"Decanophenone","C16 H24 O",0.53,232.18284,233.19012,17.946,"sc020"
392,"Decanophenone","C16 H24 O",0.53,232.18284,233.19012,17.946,"sc023"
6135,"Decarbamoyl-neosaxitoxin","C9 H16 N6 O4",1.38,272.12368,273.13095,8.575,"sc001"
6135,"Decarbamoyl-neosaxitoxin","C9 H16 N6 O4",1.38,272.12368,273.13095,8.575,"sc003"
6135,"Decarbamoyl-neosaxitoxin","C9 H16 N6 O4",1.38,272.12368,273.13095,8.575,"sc004"
6135,"Decarbamoyl-neosaxitoxin","C9 H16 N6 O4",1.38,272.12368,273.13095,8.575,"sc005"
506,"Decarbamoyl-neosaxitoxin","C9 H16 N6 O4",1.44,272.12369,273.13097,10.096,"sc007"
6135,"Decarbamoyl-neosaxitoxin","C9 H16 N6 O4",1.38,272.12368,273.13095,8.575,"sc008"
6135,"Decarbamoyl-neosaxitoxin","C9 H16 N6 O4",1.38,272.12368,273.13095,8.575,"sc010"
6135,"Decarbamoyl-neosaxitoxin","C9 H16 N6 O4",1.38,272.12368,273.13095,8.575,"sc011"
6135,"Decarbamoyl-neosaxitoxin","C9 H16 N6 O4",1.38,272.12368,273.13095,8.575,"sc013"
6135,"Decarbamoyl-neosaxitoxin","C9 H16 N6 O4",1.38,272.12368,273.13095,8.575,"sc014"
6135,"Decarbamoyl-neosaxitoxin","C9 H16 N6 O4",1.38,272.12368,273.13095,8.575,"sc015"
4979,"Decarbamoyl-neosaxitoxin","C9 H16 N6 O4",1.7,272.12377,273.13104,10.218,"sc016"
6135,"Decarbamoyl-neosaxitoxin","C9 H16 N6 O4",1.38,272.12368,273.13095,8.575,"sc018"
506,"Decarbamoyl-neosaxitoxin","C9 H16 N6 O4",1.44,272.12369,273.13097,10.096,"sc020"
4979,"Decarbamoyl-neosaxitoxin","C9 H16 N6 O4",1.7,272.12377,273.13104,10.218,"sc023"
61,"Decylubiquinone","C19 H30 O4",-0.08,322.21438,345.2036,19.929,"sc004"
48,"Decylubiquinone","C19 H30 O4",-0.04,322.2144,345.20361,20.046,"sc007"
61,"Decylubiquinone","C19 H30 O4",-0.08,322.21438,345.2036,19.929,"sc014"
48,"Decylubiquinone","C19 H30 O4",-0.04,322.2144,345.20361,20.046,"sc023"
6929,"Deferiprone","C7 H9 N O2",0.63,139.06342,140.0707,1.28,"sc011"
2397,"Deferoxamine","C25 H48 N6 O8",0.17,560.35346,561.36073,17.406,"sc003"
4195,"Deflazacort","C25 H31 N O6",0.07,441.21517,442.22244,16.797,"sc023"
2599,"Deoxynivalenol","C15 H20 O6",0.36,296.12609,319.11534,7.664,"sc009"
907,"Desethylatrazine","C6 H10 Cl N5",0.77,187.06262,188.06989,10.491,"qc15x"
4640,"Desethylatrazine","C6 H10 Cl N5",4.76,187.06336,188.07065,6.12,"sc009"
907,"Desethylatrazine","C6 H10 Cl N5",0.77,187.06262,188.06989,10.491,"sc014"
4676,"Desethylatrazine","C6 H10 Cl N5",4.89,187.06339,188.07066,5.857,"sc015"
907,"Desethylatrazine","C6 H10 Cl N5",0.77,187.06262,188.06989,10.491,"sc016"
7405,"Desethylatrazine","C6 H10 Cl N5",4.84,187.06338,188.07065,9.799,"sc018"
4432,"Desmethyldoxepin","C18 H19 N O",0.39,265.14677,266.15404,18.218,"sc007"
4432,"Desmethyldoxepin","C18 H19 N O",0.39,265.14677,266.15404,18.218,"sc008"
4432,"Desmethyldoxepin","C18 H19 N O",0.39,265.14677,266.15404,18.218,"sc010"
4432,"Desmethyldoxepin","C18 H19 N O",0.39,265.14677,266.15404,18.218,"sc011"
4432,"Desmethyldoxepin","C18 H19 N O",0.39,265.14677,266.15404,18.218,"sc012"
4432,"Desmethyldoxepin","C18 H19 N O",0.39,265.14677,266.15404,18.218,"sc016"
32,"Desnitro-imidacloprid","C9 H11 Cl N4",3.99,210.06806,211.07534,15.289,"sc003"
32,"Desnitro-imidacloprid","C9 H11 Cl N4",3.99,210.06806,211.07534,15.289,"sc004"
32,"Desnitro-imidacloprid","C9 H11 Cl N4",3.99,210.06806,211.07534,15.289,"sc007"
32,"Desnitro-imidacloprid","C9 H11 Cl N4",3.99,210.06806,211.07534,15.289,"sc008"
32,"Desnitro-imidacloprid","C9 H11 Cl N4",3.99,210.06806,211.07534,15.289,"sc014"
32,"Desnitro-imidacloprid","C9 H11 Cl N4",3.99,210.06806,211.07534,15.289,"sc015"
32,"Desnitro-imidacloprid","C9 H11 Cl N4",3.99,210.06806,211.07534,15.289,"sc016"
32,"Desnitro-imidacloprid","C9 H11 Cl N4",3.99,210.06806,211.07534,15.289,"sc020"
32,"Desnitro-imidacloprid","C9 H11 Cl N4",3.99,210.06806,211.07534,15.289,"sc023"
3016,"Desogestrel","C22 H30 O",0.61,310.22985,311.23713,22.574,"sc007"
3016,"Desogestrel","C22 H30 O",0.61,310.22985,311.23713,22.574,"sc008"
3016,"Desogestrel","C22 H30 O",0.61,310.22985,311.23713,22.574,"sc013"
461,"Desoxymethyltestosterone","C20 H32 O",0.71,288.24552,289.2528,20.632,"sc003"
461,"Desoxymethyltestosterone","C20 H32 O",0.71,288.24552,289.2528,20.632,"sc004"
461,"Desoxymethyltestosterone","C20 H32 O",0.71,288.24552,289.2528,20.632,"sc008"
461,"Desoxymethyltestosterone","C20 H32 O",0.71,288.24552,289.2528,20.632,"sc016"
1307,"Detomidine","C12 H14 N2",0.29,186.11575,187.12303,15.15,"sc003"
1307,"Detomidine","C12 H14 N2",0.29,186.11575,187.12303,15.15,"sc004"
1307,"Detomidine","C12 H14 N2",0.29,186.11575,187.12303,15.15,"sc007"
1307,"Detomidine","C12 H14 N2",0.29,186.11575,187.12303,15.15,"sc008"
1307,"Detomidine","C12 H14 N2",0.29,186.11575,187.12303,15.15,"sc015"
1307,"Detomidine","C12 H14 N2",0.29,186.11575,187.12303,15.15,"sc016"
1307,"Detomidine","C12 H14 N2",0.29,186.11575,187.12303,15.15,"sc020"
1307,"Detomidine","C12 H14 N2",0.29,186.11575,187.12303,15.15,"sc023"
4037,"Dexelvucitabine","C9 H10 F N3 O3",-4.61,227.06957,228.07685,2.356,"sc003"
4037,"Dexelvucitabine","C9 H10 F N3 O3",-4.61,227.06957,228.07685,2.356,"sc004"
4037,"Dexelvucitabine","C9 H10 F N3 O3",-4.61,227.06957,228.07685,2.356,"sc007"
6519,"Dexelvucitabine","C9 H10 F N3 O3",-4.69,227.06955,228.07683,7.187,"sc014"
4037,"Dexelvucitabine","C9 H10 F N3 O3",-4.61,227.06957,228.07685,2.356,"sc015"
6519,"Dexelvucitabine","C9 H10 F N3 O3",-4.69,227.06955,228.07683,7.187,"sc016"
4037,"Dexelvucitabine","C9 H10 F N3 O3",-4.61,227.06957,228.07685,2.356,"sc020"
4037,"Dexelvucitabine","C9 H10 F N3 O3",-4.61,227.06957,228.07685,2.356,"sc023"
819,"Dexpanthenol","C9 H19 N O4",0.25,205.13146,228.12071,5.406,"sc001"
819,"Dexpanthenol","C9 H19 N O4",0.25,205.13146,228.12071,5.406,"sc002"
819,"Dexpanthenol","C9 H19 N O4",0.25,205.13146,228.12071,5.406,"sc003"
819,"Dexpanthenol","C9 H19 N O4",0.25,205.13146,228.12071,5.406,"sc004"
819,"Dexpanthenol","C9 H19 N O4",0.25,205.13146,228.12071,5.406,"sc005"
4034,"Dextromethorphan","C18 H25 N O",0.46,271.19374,272.20101,17.6,"sc003"
6119,"Diampromide","C21 H28 N2 O",0.38,324.22029,325.22756,12.548,"sc004"
6119,"Diampromide","C21 H28 N2 O",0.38,324.22029,325.22756,12.548,"sc008"
6119,"Diampromide","C21 H28 N2 O",0.38,324.22029,325.22756,12.548,"sc020"
3381,"Diazolidinyl urea","C8 H14 N4 O7",-0.38,278.08614,279.09341,15.65,"sc003"
3381,"Diazolidinyl urea","C8 H14 N4 O7",-0.38,278.08614,279.09341,15.65,"sc004"
3381,"Diazolidinyl urea","C8 H14 N4 O7",-0.38,278.08614,279.09341,15.65,"sc007"
3381,"Diazolidinyl urea","C8 H14 N4 O7",-0.38,278.08614,279.09341,15.65,"sc008"
3381,"Diazolidinyl urea","C8 H14 N4 O7",-0.38,278.08614,279.09341,15.65,"sc010"
3381,"Diazolidinyl urea","C8 H14 N4 O7",-0.38,278.08614,279.09341,15.65,"sc011"
3381,"Diazolidinyl urea","C8 H14 N4 O7",-0.38,278.08614,279.09341,15.65,"sc015"
3381,"Diazolidinyl urea","C8 H14 N4 O7",-0.38,278.08614,279.09341,15.65,"sc016"
3381,"Diazolidinyl urea","C8 H14 N4 O7",-0.38,278.08614,279.09341,15.65,"sc020"
3381,"Diazolidinyl urea","C8 H14 N4 O7",-0.38,278.08614,279.09341,15.65,"sc023"
3381,"Diazolidinyl urea","C8 H14 N4 O7",-0.38,278.08614,279.09341,15.65,"solution"
3540,"Dibenzoylmethane","C15 H12 O2",0.46,224.08383,225.09111,16.668,"sc007"
3540,"Dibenzoylmethane","C15 H12 O2",0.46,224.08383,225.09111,16.668,"sc008"
3540,"Dibenzoylmethane","C15 H12 O2",0.46,224.08383,225.09111,16.668,"sc014"
3540,"Dibenzoylmethane","C15 H12 O2",0.46,224.08383,225.09111,16.668,"sc016"
3540,"Dibenzoylmethane","C15 H12 O2",0.46,224.08383,225.09111,16.668,"sc017"
1202,"Dichlorophene_BTM02818","C13 H11 Cl O3",-0.31,250.03959,251.04688,20.222,"sc001"
1202,"Dichlorophene_BTM02818","C13 H11 Cl O3",-0.31,250.03959,251.04688,20.222,"sc002"
1202,"Dichlorophene_BTM02818","C13 H11 Cl O3",-0.31,250.03959,251.04688,20.222,"sc003"
1202,"Dichlorophene_BTM02818","C13 H11 Cl O3",-0.31,250.03959,251.04688,20.222,"sc014"
4696,"Diclofenac","C14 H11 Cl2 N O2",0.51,295.01683,296.02414,17.51,"sc003"
4696,"Diclofenac","C14 H11 Cl2 N O2",0.51,295.01683,296.02414,17.51,"sc004"
4696,"Diclofenac","C14 H11 Cl2 N O2",0.51,295.01683,296.02414,17.51,"sc007"
944,"Didecyldimethylammonium","C22 H47 N",0.24,325.37093,326.37821,19.037,"sc001"
944,"Didecyldimethylammonium","C22 H47 N",0.24,325.37093,326.37821,19.037,"sc002"
944,"Didecyldimethylammonium","C22 H47 N",0.24,325.37093,326.37821,19.037,"sc003"
944,"Didecyldimethylammonium","C22 H47 N",0.24,325.37093,326.37821,19.037,"sc004"
944,"Didecyldimethylammonium","C22 H47 N",0.24,325.37093,326.37821,19.037,"sc005"
944,"Didecyldimethylammonium","C22 H47 N",0.24,325.37093,326.37821,19.037,"sc007"
944,"Didecyldimethylammonium","C22 H47 N",0.24,325.37093,326.37821,19.037,"sc008"
944,"Didecyldimethylammonium","C22 H47 N",0.24,325.37093,326.37821,19.037,"sc009"
944,"Didecyldimethylammonium","C22 H47 N",0.24,325.37093,326.37821,19.037,"sc010"
944,"Didecyldimethylammonium","C22 H47 N",0.24,325.37093,326.37821,19.037,"sc011"
944,"Didecyldimethylammonium","C22 H47 N",0.24,325.37093,326.37821,19.037,"sc012"
944,"Didecyldimethylammonium","C22 H47 N",0.24,325.37093,326.37821,19.037,"sc013"
944,"Didecyldimethylammonium","C22 H47 N",0.24,325.37093,326.37821,19.037,"sc014"
944,"Didecyldimethylammonium","C22 H47 N",0.24,325.37093,326.37821,19.037,"sc015"
944,"Didecyldimethylammonium","C22 H47 N",0.24,325.37093,326.37821,19.037,"sc016"
944,"Didecyldimethylammonium","C22 H47 N",0.24,325.37093,326.37821,19.037,"sc017"
944,"Didecyldimethylammonium","C22 H47 N",0.24,325.37093,326.37821,19.037,"sc018"
944,"Didecyldimethylammonium","C22 H47 N",0.24,325.37093,326.37821,19.037,"sc020"
944,"Didecyldimethylammonium","C22 H47 N",0.24,325.37093,326.37821,19.037,"sc023"
944,"Didecyldimethylammonium","C22 H47 N",0.24,325.37093,326.37821,19.037,"solution"
5048,"Diethylpropion","C13 H19 N O",0.01,205.14667,206.15394,7.923,"sc002"
5048,"Diethylpropion","C13 H19 N O",0.01,205.14667,206.15394,7.923,"sc015"
4228,"Diethylthiambutene","C16 H21 N S2",-2.35,291.11086,292.11813,11.541,"sc023"
7162,"Difenoxin","C28 H28 N2 O2",-0.26,424.21497,425.22224,12.508,"sc003"
7162,"Difenoxin","C28 H28 N2 O2",-0.26,424.21497,425.22224,12.508,"sc004"
7162,"Difenoxin","C28 H28 N2 O2",-0.26,424.21497,425.22224,12.508,"sc011"
7162,"Difenoxin","C28 H28 N2 O2",-0.26,424.21497,425.22224,12.508,"sc016"
7162,"Difenoxin","C28 H28 N2 O2",-0.26,424.21497,425.22224,12.508,"sc018"
697,"Dihydralazine","C8 H10 N6",0.27,190.09675,191.10402,8.374,"sc003"
697,"Dihydralazine","C8 H10 N6",0.27,190.09675,191.10402,8.374,"sc004"
697,"Dihydralazine","C8 H10 N6",0.27,190.09675,191.10402,8.374,"sc007"
697,"Dihydralazine","C8 H10 N6",0.27,190.09675,191.10402,8.374,"sc008"
3763,"Dihydralazine","C8 H10 N6",1.65,190.09701,191.10429,12.707,"sc014"
697,"Dihydralazine","C8 H10 N6",0.27,190.09675,191.10402,8.374,"sc020"
1791,"Dihydrocodeine","C18 H23 N O3",0.5,301.16794,302.17522,13.68,"sc003"
1791,"Dihydrocodeine","C18 H23 N O3",0.5,301.16794,302.17522,13.68,"sc004"
1791,"Dihydrocodeine","C18 H23 N O3",0.5,301.16794,302.17522,13.68,"sc007"
1791,"Dihydrocodeine","C18 H23 N O3",0.5,301.16794,302.17522,13.68,"sc020"
4792,"Dihydrocodeine","C18 H23 N O3",0.4,301.16791,302.17519,9.894,"sc023"
5702,"Dihydroergocriptine","C32 H43 N5 O5",-4.27,577.32396,578.33123,10.436,"sc001"
3717,"Dihydroergocriptine","C32 H43 N5 O5",-4.26,577.32396,578.33123,10.777,"sc002"
3717,"Dihydroergocriptine","C32 H43 N5 O5",-4.26,577.32396,578.33123,10.777,"sc005"
3717,"Dihydroergocriptine","C32 H43 N5 O5",-4.26,577.32396,578.33123,10.777,"sc010"
5702,"Dihydroergocriptine","C32 H43 N5 O5",-4.27,577.32396,578.33123,10.436,"sc011"
3717,"Dihydroergocriptine","C32 H43 N5 O5",-4.26,577.32396,578.33123,10.777,"sc012"
2170,"Dihydroergocriptine","C32 H43 N5 O5",-3.93,577.32415,578.33143,10.67,"sc013"
3717,"Dihydroergocriptine","C32 H43 N5 O5",-4.26,577.32396,578.33123,10.777,"sc015"
2170,"Dihydroergocriptine","C32 H43 N5 O5",-3.93,577.32415,578.33143,10.67,"sc016"
6359,"Dihydroergocriptine","C32 H43 N5 O5",-4.33,577.32392,578.3312,11.505,"sc017"
2170,"Dihydroergocriptine","C32 H43 N5 O5",-3.93,577.32415,578.33143,10.67,"sc020"
5702,"Dihydroergocriptine","C32 H43 N5 O5",-4.27,577.32396,578.33123,10.436,"sc023"
4396,"Dihydromorphine","C17 H21 N O3",0.62,287.15232,288.1596,7.12,"sc009"
5020,"Dihydromorphine","C17 H21 N O3",-1.76,287.15164,288.15892,8.483,"solution"
3992,"Dihydrotachysterol","C28 H46 O",0.28,398.35498,399.36218,22.307,"sc011"
664,"Diisodecyl phthalate","C28 H46 O4",-1.78,446.33882,447.34508,21.31,"sc002"
664,"Diisodecyl phthalate","C28 H46 O4",-1.78,446.33882,447.34508,21.31,"sc003"
664,"Diisodecyl phthalate","C28 H46 O4",-1.78,446.33882,447.34508,21.31,"sc004"
664,"Diisodecyl phthalate","C28 H46 O4",-1.78,446.33882,447.34508,21.31,"sc010"
664,"Diisodecyl phthalate","C28 H46 O4",-1.78,446.33882,447.34508,21.31,"sc011"
664,"Diisodecyl phthalate","C28 H46 O4",-1.78,446.33882,447.34508,21.31,"sc012"
664,"Diisodecyl phthalate","C28 H46 O4",-1.78,446.33882,447.34508,21.31,"sc013"
664,"Diisodecyl phthalate","C28 H46 O4",-1.78,446.33882,447.34508,21.31,"sc014"
664,"Diisodecyl phthalate","C28 H46 O4",-1.78,446.33882,447.34508,21.31,"sc016"
664,"Diisodecyl phthalate","C28 H46 O4",-1.78,446.33882,447.34508,21.31,"sc017"
664,"Diisodecyl phthalate","C28 H46 O4",-1.78,446.33882,447.34508,21.31,"sc018"
664,"Diisodecyl phthalate","C28 H46 O4",-1.78,446.33882,447.34508,21.31,"sc020"
664,"Diisodecyl phthalate","C28 H46 O4",-1.78,446.33882,447.34508,21.31,"solution"
6255,"Diketo-Metribuzin","C7 H12 N4 O2",0.29,184.09608,185.10336,5.704,"sc004"
6255,"Diketo-Metribuzin","C7 H12 N4 O2",0.29,184.09608,185.10336,5.704,"sc007"
6255,"Diketo-Metribuzin","C7 H12 N4 O2",0.29,184.09608,185.10336,5.704,"sc015"
6255,"Diketo-Metribuzin","C7 H12 N4 O2",0.29,184.09608,185.10336,5.704,"sc020"
2509,"Dilevalol","C19 H24 N2 O3",0.15,328.17874,329.18602,12.34,"sc016"
2509,"Dilevalol","C19 H24 N2 O3",0.15,328.17874,329.18602,12.34,"sc023"
1413,"Dimetridazole","C5 H7 N3 O2",0.76,141.05393,142.06121,5.321,"sc003"
1413,"Dimetridazole","C5 H7 N3 O2",0.76,141.05393,142.06121,5.321,"sc004"
1413,"Dimetridazole","C5 H7 N3 O2",0.76,141.05393,142.06121,5.321,"sc007"
6819,"Dioxaphetyl butyrate","C22 H27 N O3",0.08,353.19912,354.2064,11.9,"sc015"
6819,"Dioxaphetyl butyrate","C22 H27 N O3",0.08,353.19912,354.2064,11.9,"sc016"
330,"Diphenylphosphinic acid","C12 H11 O2 P",0.5,218.04978,219.05705,12.297,"sc014"
330,"Diphenylphosphinic acid","C12 H11 O2 P",0.5,218.04978,219.05705,12.297,"sc015"
330,"Diphenylphosphinic acid","C12 H11 O2 P",0.5,218.04978,219.05705,12.297,"sc018"
330,"Diphenylphosphinic acid","C12 H11 O2 P",0.5,218.04978,219.05705,12.297,"sc020"
330,"Diphenylphosphinic acid","C12 H11 O2 P",0.5,218.04978,219.05705,12.297,"sc023"
3215,"Diphenylurea","C13 H12 N2 O",0.05,212.09497,213.10225,7.081,"sc003"
3215,"Diphenylurea","C13 H12 N2 O",0.05,212.09497,213.10225,7.081,"sc004"
5977,"Diphenylurea","C13 H12 N2 O",-0.03,212.09496,213.10223,14.028,"sc009"
5977,"Diphenylurea","C13 H12 N2 O",-0.03,212.09496,213.10223,14.028,"sc014"
5977,"Diphenylurea","C13 H12 N2 O",-0.03,212.09496,213.10223,14.028,"sc015"
5977,"Diphenylurea","C13 H12 N2 O",-0.03,212.09496,213.10223,14.028,"sc023"
2823,"Diproqualone","C12 H14 N2 O3",0.41,234.10054,235.10783,10.874,"sc007"
8803,"Disofenin","C18 H26 N2 O5",-0.05,350.18416,351.19143,14.576,"sc004"
9745,"Disofenin","C18 H26 N2 O5",4.24,350.18565,351.19293,20.886,"solution"
5737,"Disperse red 11","C15 H12 N2 O3",0.36,268.08489,269.09217,5.887,"sc003"
5737,"Disperse red 11","C15 H12 N2 O3",0.36,268.08489,269.09217,5.887,"sc004"
5737,"Disperse red 11","C15 H12 N2 O3",0.36,268.08489,269.09217,5.887,"sc007"
5737,"Disperse red 11","C15 H12 N2 O3",0.36,268.08489,269.09217,5.887,"sc016"
5737,"Disperse red 11","C15 H12 N2 O3",0.36,268.08489,269.09217,5.887,"sc020"
5737,"Disperse red 11","C15 H12 N2 O3",0.36,268.08489,269.09217,5.887,"sc023"
1591,"Dodecyltrimethylammonium","C15 H33 N",0.51,227.26142,228.26869,18.396,"sc005"
1591,"Dodecyltrimethylammonium","C15 H33 N",0.51,227.26142,228.26869,18.396,"solution"
656,"Dolasetron","C19 H20 N2 O3",0.28,324.14748,325.15476,11.058,"sc003"
656,"Dolasetron","C19 H20 N2 O3",0.28,324.14748,325.15476,11.058,"sc004"
656,"Dolasetron","C19 H20 N2 O3",0.28,324.14748,325.15476,11.058,"sc008"
656,"Dolasetron","C19 H20 N2 O3",0.28,324.14748,325.15476,11.058,"sc014"
656,"Dolasetron","C19 H20 N2 O3",0.28,324.14748,325.15476,11.058,"sc015"
656,"Dolasetron","C19 H20 N2 O3",0.28,324.14748,325.15476,11.058,"sc016"
656,"Dolasetron","C19 H20 N2 O3",0.28,324.14748,325.15476,11.058,"sc023"
7788,"Dolastatin 10_BTM04018","C42 H67 N6 O6 S",-2.25,783.48252,784.48979,12.267,"sc016"
286,"Dolutegravir","C20 H19 F2 N3 O5",0.27,419.12939,420.13667,16.106,"sc003"
286,"Dolutegravir","C20 H19 F2 N3 O5",0.27,419.12939,420.13667,16.106,"sc004"
286,"Dolutegravir","C20 H19 F2 N3 O5",0.27,419.12939,420.13667,16.106,"sc007"
286,"Dolutegravir","C20 H19 F2 N3 O5",0.27,419.12939,420.13667,16.106,"sc008"
286,"Dolutegravir","C20 H19 F2 N3 O5",0.27,419.12939,420.13667,16.106,"sc014"
286,"Dolutegravir","C20 H19 F2 N3 O5",0.27,419.12939,420.13667,16.106,"sc015"
286,"Dolutegravir","C20 H19 F2 N3 O5",0.27,419.12939,420.13667,16.106,"sc016"
286,"Dolutegravir","C20 H19 F2 N3 O5",0.27,419.12939,420.13667,16.106,"sc020"
286,"Dolutegravir","C20 H19 F2 N3 O5",0.27,419.12939,420.13667,16.106,"sc023"
1688,"Dopamine","C8 H11 N O2",0.4,153.07904,154.08633,1.262,"sc008"
1135,"Dopamine","C8 H11 N O2",0.48,153.07905,154.08633,6.923,"sc009"
1688,"Dopamine","C8 H11 N O2",0.4,153.07904,154.08633,1.262,"sc010"
1688,"Dopamine","C8 H11 N O2",0.4,153.07904,154.08633,1.262,"sc011"
1688,"Dopamine","C8 H11 N O2",0.4,153.07904,154.08633,1.262,"sc012"
1135,"Dopamine","C8 H11 N O2",0.48,153.07905,154.08633,6.923,"sc014"
1135,"Dopamine","C8 H11 N O2",0.48,153.07905,154.08633,6.923,"sc015"
1688,"Dopamine","C8 H11 N O2",0.4,153.07904,154.08633,1.262,"sc016"
4436,"Dopamine","C8 H11 N O2",0.45,153.07905,154.08632,8.22,"sc018"
5360,"Dotarizine","C29 H34 N2 O2",-2.74,442.26082,443.26809,22.472,"sc001"
5360,"Dotarizine","C29 H34 N2 O2",-2.74,442.26082,443.26809,22.472,"sc002"
5360,"Dotarizine","C29 H34 N2 O2",-2.74,442.26082,443.26809,22.472,"sc003"
5360,"Dotarizine","C29 H34 N2 O2",-2.74,442.26082,443.26809,22.472,"sc004"
5360,"Dotarizine","C29 H34 N2 O2",-2.74,442.26082,443.26809,22.472,"sc005"
5360,"Dotarizine","C29 H34 N2 O2",-2.74,442.26082,443.26809,22.472,"sc007"
5360,"Dotarizine","C29 H34 N2 O2",-2.74,442.26082,443.26809,22.472,"sc008"
5360,"Dotarizine","C29 H34 N2 O2",-2.74,442.26082,443.26809,22.472,"sc009"
