"peak_number","name","formula","annot_delta_mass_ppm","calc_mw","m_z","rt_min","mass_list_name","palapye wwtp surface water","kasane wwtp (main) surface water","kasane wwtp (overflow) surface water","maun wwtp (main) waste water","maun wwtp (overflow) surface water","palapye wwtp (eff) waste water","francistown wwtp surface water","ghanzi wwtp surface water","glen valley (reclamation) surface water","glen valley (recreational) surface water","kasane (recreational) surface water","maun beach (before) surface water","maun beach (after) surface water","lecheng stream surface water","lecheng spring surface water","lotsane dam surface water","kasane (main) surface water","mogobane dam surface water","maru-a-pula surface water"
833,"Formycin","C10 H13 N5 O4",0.39,267.09686,268.10413,3.21,"kps_pharmaceuticals_oct22",6385727.64845275,592620.250875783,NA,9208407.15014048,1941538.64820109,10239380.9288198,1321960.18616985,492925.387382981,1305871.52055631,3163185.53873228,NA,NA,1952889.79736569,NA,9270705.24827839,2751061.2623418,795027.977652709,NA,3500695.8481342
2484,"Formylsulfamethine","C13 H14 N4 O3 S",-1.6,306.07817,307.08545,20.171,"itn_kps",NA,2018957.01323866,1799926.74814425,2017149.94264024,2078078.78848898,NA,NA,2787876.36606148,NA,NA,3178091.6207015,2921197.5617026,2657727.80263716,2626102.97756541,1828123.25210089,2342878.46031643,2328365.15190614,3246245.50599739,2919376.25744777
797,"Formylsulfamethine","C13 H14 N4 O3 S",-1.42,306.07823,307.0855,13.86,"itn_kps",443245.38814241,NA,NA,NA,NA,638580.799500562,10150074.6150207,NA,824416.256744808,859454.049019657,NA,NA,NA,NA,NA,NA,NA,NA,NA
8691,"Furosemide","C12 H11 Cl N2 O5 S",1.69,330.00828,331.01556,14.914,"kps_pharmaceuticals_oct22",NA,475664.555800712,NA,NA,NA,NA,NA,194092.657197323,NA,NA,NA,NA,NA,NA,NA,NA,262490.412008663,NA,NA
4364,"Furoylleucin","C11 H15 N O4",0.5,225.10022,248.08943,10.444,"kps_pharmaceuticals_oct22",NA,NA,NA,NA,NA,NA,2163367.78999588,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4077,"Furoylleucin","C11 H15 N O4",0.35,225.10019,226.10746,6.699,"kps_pharmaceuticals_oct22",NA,NA,2138369.57485056,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3182,"Gabapentin","C9 H17 N O2",0.24,171.12597,172.13327,9.935,"kps_pharmaceuticals_oct22",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,418238.731463522,NA,NA,1300336.27769032,NA,NA,NA,NA,364431.655198291
2201,"Gabapentin","C9 H17 N O2",0.39,171.126,172.13327,6.81,"kps_pharmaceuticals_oct22",2779718.04001265,NA,NA,NA,1158268.36504907,2561126.20756499,3444110.76288611,435495.644309115,4350145.30400265,1279017.15821106,NA,NA,NA,NA,NA,NA,NA,NA,NA
1430,"Gabapentin","C9 H17 N O2",0.15,171.12595,194.11517,20.258,"kps_pharmaceuticals_oct22",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6356167.93277734,NA,NA,NA
7204,"Gabapentin","C9 H17 N O2",0.36,171.12599,172.13327,5.924,"kps_pharmaceuticals_oct22",NA,NA,942884.191362704,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3550,"Gabapentin","C9 H17 N O2",0.31,171.12598,172.13326,1.633,"kps_pharmaceuticals_oct22",NA,NA,NA,537140.666723178,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
535,"Gabexate","C16 H23 N3 O4",0.41,321.16899,322.17626,7.821,"kps_pharmaceuticals_oct22",NA,NA,NA,NA,NA,1813914.00379409,14109807.0687949,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1924,"Gabexate","C16 H23 N3 O4",0.16,321.16891,322.17618,8.648,"kps_pharmaceuticals_oct22",NA,NA,NA,NA,920264.778111905,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2820,"Gaboxadol","C6 H8 N2 O2",0.77,140.05868,141.06596,4.654,"kps_pharmaceuticals_oct22",3407526.95608854,NA,NA,NA,NA,1231932.43258831,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4868,"Gaboxadol","C6 H8 N2 O2",0.62,140.05866,141.06594,4.854,"kps_pharmaceuticals_oct22",NA,NA,1893570.37759588,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1860,"Galactose grease","C16 H30 O8",3.56,350.19531,373.18452,6.109,"kps_pharmaceuticals_oct22",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5043234.80916066,NA,NA,NA
741,"Gamolenic acid","C18 H30 O2",0.33,278.22467,279.23191,21.106,"kps_pharmaceuticals_oct22",7851305.71389908,410144.037835571,NA,8564547.31023949,683236.974204585,3863704.38893823,NA,420354.08420998,1061412.48558348,852236.90608333,NA,NA,NA,2004216.65994115,6188510.32366868,2258162.30689648,NA,165340.43343395,238789.559471911
2339,"Gamolenic acid","C18 H30 O2",0.29,278.22466,279.23191,18.807,"kps_pharmaceuticals_oct22",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1670292.33280544,1841455.18282504,NA,NA,NA,1872107.01252059,NA,NA
843,"Gamolenic acid","C18 H30 O2",0.16,278.22463,279.2319,19.5,"kps_pharmaceuticals_oct22",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10162746.246217,NA,NA,NA,NA,NA,NA,NA,NA
1132,"Gaxilose","C11 H20 O10",4.05,312.10691,313.11419,20.154,"kps_pharmaceuticals_oct22",2390590.86372645,NA,NA,1368832.09794341,NA,1673821.04789843,NA,NA,NA,NA,NA,NA,NA,958586.629557702,7773808.35570972,NA,NA,NA,NA
6241,"Gemcabene","C16 H30 O5",1.45,302.20976,303.21704,21.635,"kps_pharmaceuticals_oct22",941585.46114494,NA,NA,1327418.66043027,NA,NA,NA,NA,NA,205361.327148916,NA,NA,NA,264383.531587525,NA,420067.970658625,NA,275481.413310746,NA
1281,"Gemfibrozil","C15 H22 O3",0.4,250.157,251.16427,15.44,"kps_pharmaceuticals_oct22",1473645.52120535,NA,NA,NA,NA,1409718.72439718,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2707,"Gemfibrozil","C15 H22 O3",0.31,250.15697,251.16425,14.026,"kps_pharmaceuticals_oct22",NA,NA,NA,NA,NA,NA,3286684.2043808,NA,1825536.3928398,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2918,"Gemfibrozil","C15 H22 O3",0.44,250.157,251.16428,17.458,"kps_pharmaceuticals_oct22",NA,3272985.23896673,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3622,"Gemfibrozil","C15 H22 O3",0.43,250.157,251.16428,17.785,"kps_pharmaceuticals_oct22",NA,NA,2634974.29786391,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
965,"Gentamicin","C21 H43 N5 O7",-0.27,477.31612,478.32339,1.52,"itn_kps",NA,NA,NA,NA,NA,4371000.02575285,4652443.25365977,NA,515156.124905755,8917049.44835175,NA,NA,NA,NA,NA,NA,NA,NA,NA
1937,"Gentamicin","C21 H43 N5 O7",-0.08,477.31621,478.32349,1.229,"itn_kps",NA,NA,NA,NA,NA,NA,NA,1640010.40057197,NA,NA,NA,NA,NA,NA,NA,NA,NA,228317.071389744,1108435.54678083
9706,"Gentamicin C1_BTM00064","C20 H38 N4 O8",0.63,462.26925,463.27653,20.079,"itn_cyp_metabolites",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,115958.225269059,NA,NA,NA,NA,NA,NA,NA,NA
8866,"Gentamicin_BTM00017","C19 H36 N4 O8",-0.01,448.25331,449.26062,2.303,"itn_cyp_metabolites",NA,NA,NA,209668.655636242,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6701,"Geranyl-Pp","C10 H20 O7 P2",-1.38,314.06799,315.07527,11.154,"kps_pharmaceuticals_oct22",NA,NA,NA,NA,NA,272173.758268694,NA,639791.430019052,NA,NA,NA,566577.238287707,NA,834616.519184577,NA,NA,1075426.61923298,927114.239469574,837111.764515739
1078,"Geranylgeranyl pyrophosphate","C20 H36 O7 P2",-1.1,450.19313,451.20041,20.076,"kps_pharmaceuticals_oct22",NA,NA,NA,NA,NA,NA,3141606.80046385,3077669.60311322,7738154.76588477,3421408.9459066,NA,NA,NA,NA,NA,NA,NA,NA,NA
759,"Gilteritinib","C29 H44 N8 O3",-4.96,552.3509,575.34012,17.266,"kps_pharmaceuticals_oct22",7447603.66634324,NA,NA,NA,NA,5351963.43062456,5700489.18856558,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1044,"Glutamine T-Butyl Ester","C9 H18 N2 O3",0.06,202.13175,405.27078,1.266,"kps_pharmaceuticals_oct22",3849073.84255151,8393972.33173469,NA,NA,NA,4397867.6862471,NA,NA,NA,NA,5112357.5032081,5755357.89839816,NA,NA,NA,NA,3963623.98980578,1288042.4696307,NA
2633,"Glutamine T-Butyl Ester","C9 H18 N2 O3",0.17,202.13178,203.13903,1.116,"kps_pharmaceuticals_oct22",NA,NA,3387581.19654349,2783067.75663283,NA,NA,NA,2279801.09598313,1400655.2129474,3644176.82634607,NA,NA,NA,NA,NA,NA,NA,NA,3011793.0084158
5183,"Glutethimide","C13 H15 N O2",0.36,217.11036,218.11763,14.886,"kps_psychoactive_substances_v2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,556850.369848687,NA,NA,NA,NA,NA,NA
8078,"Glycerol 1-phosphoserine(1-)","C6 H14 N O8 P",0.24,259.04576,260.05304,12.506,"kps_pharmaceuticals_oct22",NA,NA,NA,NA,NA,NA,NA,NA,NA,738194.897130328,NA,NA,NA,NA,NA,NA,NA,NA,NA
6156,"Glycerophosphorylethanolamine","C5 H14 N O6 P",1.13,215.05612,216.06339,8.65,"kps_pharmaceuticals_oct22",1273066.47259849,1355815.28791361,NA,779527.851075913,NA,1230668.27529257,NA,512269.314587593,791131.330680615,818505.154718901,NA,NA,NA,NA,NA,NA,NA,NA,NA
738,"Griseofulvin","C17 H17 Cl O6",0.09,352.0714,353.07868,14.701,"itn_kps",9057442.5891596,NA,NA,NA,NA,7601621.01708353,11202610.0831257,NA,730747.194507011,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1442,"Griseofulvin_BTM02862","C16 H15 Cl O6",2.85,338.05668,339.06395,10.676,"itn_cyp_metabolites",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6258894.48705794,NA,NA,NA,NA,NA
762,"Griseofulvin_BTM02862","C16 H15 Cl O6",0.1,338.05575,339.06302,13.445,"itn_cyp_metabolites",10021902.2499564,NA,NA,NA,NA,8292052.09892069,10609960.3202522,NA,3216485.62901028,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
727,"Guanadrelum","C10 H19 N3 O2",0.1,213.14775,214.15502,2.225,"kps_pharmaceuticals_oct22",NA,3507236.85441351,11417517.5692286,NA,NA,NA,NA,1611721.95127538,NA,2449737.4266802,2199616.34276916,1130088.61647716,NA,NA,NA,NA,1499656.97421445,NA,1126428.46614204
7010,"Guanadrelum","C10 H19 N3 O2",0.01,213.14773,214.15499,1.266,"kps_pharmaceuticals_oct22",NA,NA,NA,747909.561614936,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1892,"Guanine","C5 H5 N5 O",0.55,151.04949,152.05677,1.6,"kps_pharmaceuticals_oct22",4910341.61944431,NA,NA,2443308.02842547,NA,1635419.93487821,664504.584784732,NA,652776.329885092,1238418.07416864,1251823.08400646,NA,716585.013305531,NA,2081613.29145149,3365470.19498051,NA,NA,NA
4407,"Guanine","C5 H5 N5 O",0.51,151.04949,152.05676,4.092,"kps_pharmaceuticals_oct22",NA,NA,613005.791756327,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7598,"Guanine","C5 H5 N5 O",0.48,151.04948,152.05676,5.024,"kps_pharmaceuticals_oct22",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,227414.088296356
8976,"Guanoxan","C10 H13 N3 O2",0.07,207.10079,208.10807,4.031,"kps_pharmaceuticals_oct22",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,304713.119781619,NA,NA,NA,NA,NA,NA
6051,"Halobetasol","C22 H27 Cl F2 O4",-4.91,428.15449,429.16177,20.049,"kps_pharmaceuticals_oct22",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1131696.59516097,NA,NA,NA,NA,NA
8542,"Harmaline","C13 H14 N2 O",0.38,214.11069,215.11797,13.047,"kps_pharmaceuticals_oct22",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,601045.138277874,NA,NA,NA,NA
1685,"Harmaline","C13 H14 N2 O",0.3,214.11068,215.11795,10.186,"kps_pharmaceuticals_oct22",5489272.03983268,337077.655520842,851847.983614076,NA,1606634.73138807,4055399.27125182,5327751.82357619,236557.422204553,3768619.19688816,1802616.7203841,NA,NA,NA,NA,NA,NA,NA,NA,NA
2914,"Hemi-Babim","C16 H14 N6",-4.04,290.12682,291.1341,7.03,"kps_pharmaceuticals_oct22",2878839.67211081,NA,NA,NA,NA,2594259.84284442,3277078.46523074,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3639,"Hemi-Babim","C16 H14 N6",-4.08,290.12681,291.13409,7.217,"kps_pharmaceuticals_oct22",NA,NA,1203776.73324615,1498194.17822225,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3659,"Hemi-Babim","C16 H14 N6",-3.94,290.12685,291.13413,6.496,"kps_pharmaceuticals_oct22",NA,NA,NA,NA,1911733.47249011,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2242,"Hemi-Babim","C16 H14 N6",-3.96,290.12684,291.13412,12.067,"kps_pharmaceuticals_oct22",NA,NA,NA,NA,NA,NA,NA,351385.588858568,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3910,"Hemi-Babim","C16 H14 N6",-3.99,290.12684,291.13411,10.075,"kps_pharmaceuticals_oct22",NA,NA,NA,NA,NA,NA,NA,NA,652027.717936546,NA,NA,NA,NA,NA,NA,NA,NA,NA,385778.588818623
3000,"Hemi-Babim","C16 H14 N6",-3.93,290.12685,291.13412,11.542,"kps_pharmaceuticals_oct22",NA,NA,NA,NA,NA,NA,NA,NA,NA,2015175.5787176,NA,NA,NA,NA,NA,NA,NA,NA,NA
3734,"Heptanophenone","C13 H18 O",0.27,190.13582,191.14309,12.929,"mz_cloud",NA,NA,NA,NA,NA,1432323.61037761,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4790,"Heptanophenone","C13 H18 O",0.13,190.13579,191.14307,16.99,"mz_cloud",NA,NA,NA,NA,1936448.31274644,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7505,"Hesperidin","C28 H34 O15",-0.52,610.18945,633.17865,11.695,"kps_pharmaceuticals_oct22",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,814915.367019273,NA,NA,NA,NA,NA
44,"Hexadecanamide","C16 H33 N O",0.19,255.25626,256.26354,21.131,"mz_cloud",95553844.6350692,20598388.7624913,14921501.1463991,32503765.0477264,27601644.7101787,47214171.6379283,40861781.4166442,11916157.8395205,20063982.8109509,28077742.1437394,10341859.6682327,9307388.04753805,11587404.8482749,16234272.0832778,28348843.7168154,23521757.6668409,16222759.0512772,9763621.26210065,10097368.5738768
3384,"Hexafluorenium","C36 H42 N2",-2.48,502.33355,503.34083,22.73,"kps_pharmaceuticals_oct22",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2813120.06763579,NA,NA,NA,NA,NA,NA,NA,NA
8409,"Hexamethylmelamine","C9 H18 N6",1.29,210.15957,211.16684,15.536,"kps_pharmaceuticals_oct22",NA,646429.394905225,NA,NA,NA,NA,NA,NA,NA,NA,NA,230617.820024234,NA,NA,NA,NA,NA,NA,NA
1589,"Histamine","C5 H9 N3",1.43,111.07981,112.08708,1.666,"kps_pharmaceuticals_oct22",NA,NA,NA,NA,NA,NA,5433937.87210904,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6533,"Huperzine A","C15 H18 N2 O",0.62,242.14206,243.14931,15.413,"kps_pharmaceuticals_oct22",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1189741.6375348,NA,NA,NA,NA
4156,"Huperzine A","C15 H18 N2 O",0.65,242.14207,243.14935,14.494,"kps_pharmaceuticals_oct22",NA,2281209.15450763,NA,NA,1820805.04446514,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2777,"Huperzine B","C16 H20 N2 O",0.28,256.15764,257.16491,16.208,"kps_pharmaceuticals_oct22",3462441.85160073,375016.783316207,NA,NA,NA,2392175.47061803,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
258,"Hydracarbazine [INN:DCF]","C5 H7 N5 O",2.45,153.06543,171.09924,8.235,"kps_pharmaceuticals_oct22",NA,NA,NA,NA,NA,NA,24860655.2660357,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6687,"Hydrochlorothiazide","C7 H8 Cl N3 O4 S2",0.43,296.9646,319.95378,5.498,"kps_pharmaceuticals_oct22",1043495.77131137,NA,NA,NA,NA,624258.923721408,1096935.02360822,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1776,"Hydrocinnamic acid","C9 H10 O2",0.52,150.06816,151.07543,20.011,"kps_pharmaceuticals_oct22",NA,NA,NA,4664917.39279957,3485691.29892138,NA,2083502.82257001,NA,3894640.10294495,3404694.53726565,NA,NA,NA,NA,NA,NA,NA,NA,NA
6071,"Hydrocortamate","C27 H41 N O6",-0.09,475.29335,476.30062,12.404,"kps_pharmaceuticals_oct22",NA,NA,NA,NA,NA,NA,NA,NA,NA,1092548.52410871,NA,NA,NA,NA,NA,NA,NA,NA,NA
1732,"Hydrocortisone 21-acetate_BTM04485","C23 H32 O7",2.44,420.21583,421.22319,20.301,"itn_cyp_metabolites",NA,618992.13707442,538995.562899628,1016382.41313006,612150.776585619,877038.829036592,NA,NA,1610947.19327394,5206480.10132634,1305805.51541459,605454.418624668,988199.298116612,1913471.94244749,757866.861600032,1038410.31343202,4679865.17736318,548159.960621607,894550.80492195
2018,"Hydromorphone","C17 H19 N O3",0.52,285.13664,286.14392,6.198,"itn_cyp_metabolites",NA,NA,NA,NA,NA,363911.721172638,NA,NA,2641065.66394456,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
844,"Hydromorphone","C17 H19 N O3",0.59,285.13666,286.14394,16.855,"itn_cyp_metabolites",1718008.9138361,10150127.2961395,NA,NA,NA,NA,2295977.99850721,NA,NA,NA,NA,NA,2815882.6323227,NA,NA,NA,NA,NA,NA
4463,"Hydroquinone","C6 H6 O2",1.42,110.03694,111.04421,12.854,"kps_pharmaceuticals_oct22",2039864.16891095,NA,NA,NA,NA,1350497.8264141,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
207,"Hydroxy[3-(6-methylpyridin-2-yl)propyl]formamide","C10 H14 N2 O2",-0.13,194.1055,212.13933,1.275,"kps_pharmaceuticals_oct22",17198666.3308098,NA,NA,NA,13859103.1811135,20271618.6701261,NA,7804686.33995889,9481624.66038887,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2419,"Hydroxy[3-(6-methylpyridin-2-yl)propyl]formamide","C10 H14 N2 O2",0.19,194.10556,195.11284,1.996,"kps_pharmaceuticals_oct22",NA,3972419.18348396,NA,2026765.55151967,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7849,"Hydroxy[3-(6-methylpyridin-2-yl)propyl]formamide","C10 H14 N2 O2",0.12,194.10555,195.11283,3.728,"kps_pharmaceuticals_oct22",NA,NA,628535.802871475,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2745,"Hydroxy[3-(6-methylpyridin-2-yl)propyl]formamide","C10 H14 N2 O2",0.17,194.10556,195.11284,6.113,"kps_pharmaceuticals_oct22",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3509363.42240074,NA,NA,NA,NA,NA,NA
2880,"Hydroxy[3-(6-methylpyridin-2-yl)propyl]formamide","C10 H14 N2 O2",0.13,194.10555,195.11284,4.056,"kps_pharmaceuticals_oct22",NA,NA,NA,NA,NA,NA,NA,NA,NA,2551690.62075875,NA,NA,NA,NA,NA,NA,NA,NA,NA
3188,"Hydroxypethidine","C15 H21 N O3",0.32,263.15223,264.1595,6.238,"kps_psychoactive_substances_v2",NA,NA,2563957.73363611,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1157,"Hydroxypethidine","C15 H21 N O3",0.42,263.15225,264.15952,11.518,"kps_psychoactive_substances_v2",NA,NA,NA,4813704.58451768,6494387.46292567,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1959,"Hydroxystilbamidine","C16 H16 N4 O",-4.03,280.13128,303.12053,9.937,"kps_pharmaceuticals_oct22",NA,NA,4843392.17665245,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
616,"Hydroxystilbamidine","C16 H16 N4 O",-4.22,280.13123,303.12046,15.057,"kps_pharmaceuticals_oct22",NA,NA,NA,NA,NA,NA,NA,NA,13060270.1804316,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6451,"Hydroxyzine","C21 H27 Cl N2 O2",2.15,374.17691,375.18419,21.568,"kps_pharmaceuticals_oct22",NA,NA,NA,1188678.96165521,NA,NA,1089227.12500242,NA,NA,NA,NA,NA,NA,NA,458065.03193436,NA,NA,NA,NA
5164,"Hydroxyzine","C21 H27 Cl N2 O2",2.2,374.17693,375.1842,20.524,"kps_pharmaceuticals_oct22",1697929.06567508,769940.666645078,NA,NA,NA,NA,NA,857604.078202249,NA,NA,NA,101530.220749625,NA,NA,NA,NA,NA,NA,NA
631,"Ibandronic acid","C9 H23 N O7 P2",1.33,319.0954,320.10273,7.775,"kps_pharmaceuticals_oct22",NA,NA,NA,NA,NA,9708172.08707224,NA,NA,NA,NA,NA,NA,NA,12815484.4278448,1052464.18447414,NA,NA,NA,NA
571,"Ibodutant","C37 H48 N4 O4 S",3.74,644.34203,645.34931,16.446,"kps_pharmaceuticals_oct22",NA,912874.9276833,NA,NA,3246643.98194193,4546361.20272557,NA,854900.700757422,2872412.07015031,2806709.04757744,NA,NA,NA,NA,NA,NA,NA,NA,NA
5270,"Ibudilast","C14 H18 N2 O",0.53,230.14204,231.14931,14.974,"kps_pharmaceuticals_oct22",NA,883031.870500599,1698831.82365582,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1456169.72588512,NA,NA,NA,NA
269,"Ibuprofen","C13 H18 O2",0.04,206.13069,207.13797,15.104,"kps_pharmaceuticals_oct22",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2070099.99849733,NA,NA,NA,NA
374,"Ibuproxam","C13 H19 N O2",0.38,221.14166,222.14894,5.072,"kps_pharmaceuticals_oct22",3795408.01398234,NA,3885131.40678569,17434924.507419,13271477.7365541,3287324.09576619,17540431.5120503,1455236.97323629,10826781.6209074,10861520.5843241,NA,NA,NA,NA,NA,NA,NA,NA,NA
4709,"Ibuproxam","C13 H19 N O2",0.36,221.14166,222.14894,5.701,"kps_pharmaceuticals_oct22",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1893722.02033059,NA,NA
6564,"Icaridin","C12 H23 N O3",0.44,229.16789,230.17517,7.23,"kps_pharmaceuticals_oct22",NA,NA,NA,NA,NA,NA,NA,1157532.50010132,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1166,"Ilomastat","C20 H28 N4 O4",4.26,388.21271,389.21998,17.046,"kps_pharmaceuticals_oct22",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4689038.61898958,NA,NA
17,"Imexon","C4 H5 N3 O",1.26,111.0434,112.05068,3.107,"kps_pharmaceuticals_oct22",50445996.1740075,NA,NA,49398822.728781,137544242.378193,49485786.6811761,197491859.805613,26689483.3582356,28940661.0378856,38283164.1231203,NA,NA,NA,NA,NA,NA,NA,NA,NA
7875,"Imidacloprid","C9 H10 Cl N5 O2",0.3,255.05238,256.05966,9.17,"kps_pharmaceuticals_oct22",448603.292305912,538950.378880448,NA,NA,NA,381206.885472544,805936.630291896,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2233,"Imidacloprid-UREA","C9 H10 Cl N3 O",0.07,211.05126,212.05853,8.883,"mz_cloud",NA,212190.226558077,NA,811500.456032835,473624.213593325,NA,NA,NA,4290259.19747714,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
21,"Imidazopyridazin 1","C18 H18 N4 O",-4.05,306.14682,307.1541,15.496,"kps_pharmaceuticals_oct22",5805965.00763541,NA,NA,4043736.50143304,8863257.29368166,6098735.68391834,9401711.93596678,2192214.10695186,149582514.406229,35741741.7718344,NA,NA,NA,NA,NA,NA,NA,NA,NA
59,"Imidazopyridazin 1","C18 H18 N4 O",-3.86,306.14688,307.15416,15.88,"kps_pharmaceuticals_oct22",NA,1919547.83201477,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3681,"Imipenem","C12 H17 N3 O4 S",0.57,299.09415,300.10142,7.122,"itn_kps",1506324.66411793,217618.795122309,NA,NA,NA,NA,2584929.2688964,NA,408350.168270205,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9611,"Imipenem/Cilastatin_BTM00991","C12 H17 N3 O5 S",0.56,315.08907,316.09634,3.967,"itn_cyp_metabolites",NA,NA,NA,NA,NA,NA,216398.103987976,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8802,"Immucillin g","C11 H15 N5 O4",0.37,281.11251,282.11979,4.691,"kps_pharmaceuticals_oct22",520999.24334544,NA,NA,NA,NA,398457.689254427,209198.196705447,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,177038.551143274
223,"Inavir","C21 H36 N4 O8",-2.8,472.25199,490.28583,10.038,"kps_pharmaceuticals_oct22",8148108.27634193,1603829.76868316,NA,NA,NA,4109293.09581903,27944868.4051166,376911.989315072,NA,882802.285531897,NA,NA,1695298.35167671,NA,NA,NA,281696.448632123,NA,NA
1417,"Inavir","C21 H36 N4 O8",-2.92,472.25193,473.25917,8.245,"kps_pharmaceuticals_oct22",NA,NA,1733379.12487663,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
992,"Inavir","C21 H36 N4 O8",-2.92,472.25194,495.24116,8.682,"kps_pharmaceuticals_oct22",NA,NA,NA,NA,4638537.78050705,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
430,"Inavir","C21 H36 N4 O8",-2.93,472.25193,495.24115,9.015,"kps_pharmaceuticals_oct22",NA,NA,NA,NA,NA,NA,NA,NA,1614662.41265966,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
