"peak_number","name","formula","annot_delta_mass_ppm","calc_mw","m_z","rt_min","mass_list_name","feedpump","newdry","olddry","centrin","digesterC","digesterA","digesterB","digesterD"
561,"Concanamycin A_BTM01216","C45 H73 N O14",0.17,851.50325,852.51053,17.444,"itn_cyp_metabolites",NA,25638002.7052054,NA,NA,18025000.2426993,18396897.7798135,60218985.9416476,NA
4869,"Corticosterone","C21 H30 O4",0.32,346.21452,347.2218,19.111,"kps_pharmaceuticals_oct22",NA,NA,NA,NA,3849492.90889101,NA,NA,NA
1921,"Coumafuryl","C17 H14 O5",0.49,298.08427,299.09155,20.066,"kps_pharmaceuticals_oct22",1074989.25665548,14180942.7159484,5937639.07552173,13350048.1318465,16296960.835052,10165017.8963697,9928939.70878641,14172549.1209855
112,"Cryptotanshinone","C19 H20 O3",0.46,296.14138,297.14866,21.39,"itn_kps",5617622.01785439,140576556.80906,200063795.072769,136600337.627448,249594237.27385,355004393.201165,185234132.507355,92010636.2735802
2039,"Cryptotanshinone_BTM04455","C19 H20 O4",0.27,312.13624,313.14352,20.502,"itn_cyp_metabolites",NA,1386194.84169626,15926332.5155285,5283247.50390616,3396936.23160213,6196796.67032391,24737005.962358,NA
107,"Cryptotanshinone_BTM04460","C19 H22 O3",0.45,298.15703,299.16431,17.212,"itn_cyp_metabolites",NA,NA,NA,NA,9097690.39068993,273462465.814414,208387455.445877,NA
266,"Curcumin","C21 H20 O6",0,368.12599,369.13326,17.629,"kps_pharmaceuticals_oct22",NA,NA,NA,67178167.3193397,28093556.2055399,NA,NA,41192221.5931121
332,"Curcumin","C21 H20 O6",0.06,368.12601,369.13329,18.54,"kps_pharmaceuticals_oct22",45404193.9783863,87585063.0968495,77214814.4063983,NA,NA,4544401.03025043,NA,NA
384,"Cyclandelate","C17 H24 O3",0.1,276.17257,277.17985,19.452,"kps_pharmaceuticals_oct22",NA,NA,NA,135732255.327221,NA,NA,NA,NA
235,"Cyclandelate","C17 H24 O3",0.04,276.17256,277.17982,18.11,"kps_pharmaceuticals_oct22",NA,29749740.9328411,46044473.7404646,NA,NA,35057884.0847789,28326289.9044505,NA
246,"Cyclandelate","C17 H24 O3",0.19,276.1726,277.17988,19.237,"kps_pharmaceuticals_oct22",NA,NA,NA,NA,145157271.752042,NA,NA,135866391.620905
891,"Cyclandelate","C17 H24 O3",0.16,276.17259,277.17986,18.883,"kps_pharmaceuticals_oct22",6349864.96089548,NA,NA,NA,NA,NA,NA,NA
1481,"Cyclohexyl phenyl ketone","C13 H16 O",0.01,188.12012,189.12739,22.636,"mz_cloud",NA,17217084.1407488,18269256.5720982,16640062.3392194,21498249.8869337,26235407.989085,36546106.8709288,20630719.6143358
204,"Cyclohexyl-norstatine","C13 H25 N O3",-0.19,243.1834,266.17262,17.047,"kps_pharmaceuticals_oct22",52159178.0657291,17479081.2140589,38917220.5865123,29756312.2034179,12158174.1039671,17935976.3935907,13097293.1868672,12498159.6741013
3195,"D-Camphor","C10 H16 O",0.16,152.12014,153.12742,22.315,"kps_pharmaceuticals_oct22",NA,NA,NA,6430473.18474776,NA,NA,NA,NA
1148,"DM 235","C14 H18 N2 O2",-0.08,246.13681,247.14409,11.121,"kps_psychoactive_substances_v2",NA,NA,28282262.7609701,NA,NA,NA,NA,NA
3557,"Dabigatran etexilate","C34 H41 N7 O5",0.56,627.31727,628.32455,19.363,"kps_pharmaceuticals_oct22",NA,6315945.05566699,NA,NA,NA,NA,NA,NA
3822,"Decamethylcyclopentasiloxane","C10 H30 O5 Si5",-0.07,370.09393,371.10121,23.041,"kps_pharmaceuticals_oct22",NA,NA,9532052.49088303,NA,NA,4902629.78207981,NA,NA
3014,"Decanamide","C10 H21 N O",0.12,171.16233,172.16961,18.403,"mz_cloud",NA,NA,2830662.86088749,11254370.0288224,NA,NA,6808099.48420983,NA
4626,"Decanamide","C10 H21 N O",0.11,171.16233,172.16961,17.649,"mz_cloud",NA,NA,NA,NA,4167742.97781196,NA,NA,NA
4303,"Decanamide","C10 H21 N O",0.24,171.16236,172.16963,17.449,"mz_cloud",NA,NA,NA,NA,NA,NA,NA,7318044.05803596
1239,"Decanamide","C10 H21 N O",0.3,171.16237,172.16964,19.236,"mz_cloud",7827687.25548164,NA,NA,NA,NA,NA,NA,NA
3507,"Decanedioic acid","C10 H18 O4",-0.01,202.12051,203.12778,22.378,"kps_pharmaceuticals_oct22",4964762.18561767,NA,NA,NA,NA,NA,NA,NA
4778,"Decanophenone","C16 H24 O",-0.06,232.1827,233.18998,19.617,"mz_cloud",NA,NA,5168198.65260164,NA,NA,NA,NA,NA
3706,"Decylubiquinone","C19 H30 O4",0.4,322.21454,323.22182,20.074,"kps_pharmaceuticals_oct22",8331248.78201945,NA,NA,NA,NA,NA,NA,NA
2799,"Deferasirox","C21 H15 N3 O4",0.07,373.10628,374.11356,18.929,"kps_pharmaceuticals_oct22",NA,775715.536510262,6494450.69844473,6551613.62387844,16026101.1985154,NA,NA,10141163.205833
1673,"Deferoxamine","C25 H48 N6 O8",0.44,560.35361,561.36089,19.193,"kps_pharmaceuticals_oct22",NA,NA,NA,NA,NA,NA,8992899.74763931,NA
1562,"Delta 9 Tetrahydrocannabinol (THC)","C21 H30 O2",0.73,314.22481,315.23209,18.032,"kps_cannabinoids",NA,NA,NA,34463231.2894474,NA,NA,NA,NA
3037,"Delta 9 Tetrahydrocannabinol (THC)","C21 H30 O2",0.69,314.2248,315.23207,22.653,"kps_cannabinoids",NA,NA,6203428.37233583,NA,NA,11048916.8371257,14134734.5344585,NA
975,"Delta 9 Tetrahydrocannabinol (THC)","C21 H30 O2",0.66,314.22479,315.23206,19.079,"kps_cannabinoids",NA,55626915.3217779,NA,NA,7474962.27983096,NA,NA,6823836.37975276
3151,"Delta 9 Tetrahydrocannabinol (THC)","C21 H30 O2",0.76,314.22482,315.2321,22.745,"kps_cannabinoids",3357783.23056977,NA,NA,NA,NA,NA,NA,NA
1340,"Desacetyl diltiazem","C20 H24 N2 O3 S",0.18,372.15083,373.15811,13.074,"mz_cloud",21465340.7528191,NA,36156780.0385052,9294594.16026913,NA,NA,NA,NA
3432,"Desmethyl tocotrienol","C26 H38 O2",0.12,382.28723,383.2945,22.409,"kps_pharmaceuticals_oct22",NA,NA,11505044.6801617,NA,NA,NA,NA,NA
1027,"Desogestrel","C22 H30 O",0.38,310.22978,311.23706,21.289,"kps_pharmaceuticals_oct22",NA,53425558.8319214,NA,43747115.2874042,NA,NA,NA,NA
1349,"Desogestrel","C22 H30 O",0.29,310.22976,311.23703,21.114,"kps_pharmaceuticals_oct22",NA,NA,NA,NA,40676582.5767763,NA,NA,30558568.5848046
3645,"Desoxymethyltestosterone","C20 H32 O",0.32,288.24541,289.25264,23.229,"kps_psychoactive_substances_v2",NA,6231653.00448893,6804665.10243902,10092614.1197063,NA,7572831.62540728,NA,NA
2356,"Detomidine","C12 H14 N2",0.05,186.11571,187.12298,16.328,"mz_cloud",NA,NA,NA,NA,NA,NA,18200566.4688685,NA
2800,"Dexbrompheniramine","C16 H19 Br N2",-4.67,318.07167,319.07895,18.956,"kps_pharmaceuticals_oct22",NA,NA,6258464.10074557,16025324.7664172,NA,NA,NA,NA
3883,"Dexbrompheniramine","C16 H19 Br N2",-4.77,318.07164,319.07893,19.054,"kps_pharmaceuticals_oct22",NA,NA,NA,NA,NA,6564098.56022648,6760163.65355396,NA
3501,"Dexbrompheniramine","C16 H19 Br N2",-4.65,318.07168,319.07896,18.217,"kps_pharmaceuticals_oct22",NA,NA,NA,NA,5629317.35857669,NA,NA,4665193.71417123
4863,"Dexbrompheniramine","C16 H19 Br N2",-4.73,318.07166,319.07893,19.483,"kps_pharmaceuticals_oct22",2574711.18585774,NA,NA,NA,NA,NA,NA,NA
2414,"Dextromethorphan","C18 H25 N O",-0.19,271.19356,272.20084,18.294,"kps_psychoactive_substances_v2",NA,NA,NA,NA,NA,14902382.5993348,NA,NA
2623,"Diampromide","C21 H28 N2 O",0.72,324.2204,325.22768,18.398,"kps_pharmaceuticals_oct22",NA,NA,NA,NA,NA,14181780.3357702,NA,NA
871,"Diampromide","C21 H28 N2 O",0.64,324.22037,325.22765,13.134,"kps_pharmaceuticals_oct22",18852509.5585933,NA,45675158.9972166,NA,NA,NA,NA,NA
1731,"Dibutyl phthalate","C16 H22 O4",0.23,278.15187,279.15915,24.71,"mz_cloud",30627779.6414742,6427268.21747023,7262313.34566437,6880782.37748459,NA,NA,4733411.27367627,6334740.565849
478,"Dichlorophene_BTM02818","C13 H11 Cl O3",-0.79,250.03947,251.04675,22.086,"itn_cyp_metabolites",48932057.5034282,109175588.140253,91653866.964356,88936939.0267154,87065020.6900899,100210586.121922,60887563.686144,85934821.8018428
2475,"Diclofensine","C17 H17 Cl2 N O",0.69,321.06894,322.07622,18.382,"mz_cloud",NA,578934.013147449,NA,13773879.8205184,16218978.7265605,NA,NA,NA
1026,"Didecyl phthalate","C28 H46 O4",0.03,446.33962,447.3469,23.574,"mz_cloud",36031323.430626,NA,16879811.9804771,19015549.8059745,14648837.0307257,35863046.3069629,50946849.7727334,NA
8,"Didecyldimethylammonium","C22 H47 N",0.22,325.37092,326.3782,21.592,"mz_cloud",1819748635.23708,2032744964.76562,1905665569.13935,1022688877.01422,1660996758.30995,3110368604.07781,2098818778.87151,1900392862.61241
1584,"Dienogest","C20 H25 N O2",0.4,311.18865,312.19593,11.034,"kps_pharmaceuticals_oct22",NA,NA,21877057.9956343,NA,NA,NA,NA,NA
1316,"Diethyl maleate","C8 H12 O4",0.03,172.07356,173.08084,10.02,"mz_cloud",36167346.6906579,NA,NA,NA,NA,NA,NA,NA
646,"Diethylpropion","C13 H19 N O",-0.12,205.14664,206.15392,15.218,"kps_psychoactive_substances_v2",NA,NA,66107377.3530097,NA,NA,NA,NA,NA
1577,"Digitoxigenin","C23 H34 O4",0.11,374.24575,375.25303,18.185,"kps_pharmaceuticals_oct22",NA,24325590.3650016,NA,8349683.25132799,NA,NA,NA,NA
2901,"Digitoxigenin","C23 H34 O4",0.05,374.24573,375.253,17.496,"kps_pharmaceuticals_oct22",NA,NA,NA,NA,NA,NA,NA,15250515.8774176
4098,"Dihexylamine","C12 H27 N",0.06,185.21436,186.22164,19.863,"mz_cloud",NA,NA,NA,NA,NA,7137551.89228359,5018811.95469785,NA
1463,"Dihexylamine","C12 H27 N",0.13,185.21437,186.22165,16.073,"mz_cloud",31247994.447704,NA,NA,NA,NA,NA,NA,NA
2719,"Dihexylamine","C12 H27 N",0.12,185.21437,186.22165,19.343,"mz_cloud",NA,16807847.2900192,NA,NA,NA,NA,NA,NA
4177,"Dihydrocodeine","C18 H23 N O3",0.44,301.16793,302.1752,16.528,"kps_psychoactive_substances_v2",6113519.87544411,4138221.67246678,NA,NA,NA,NA,NA,NA
2484,"Diisobutyl adipate","C14 H26 O4",-0.17,258.18307,259.19034,17.712,"mz_cloud",NA,NA,2675370.17058922,444593.302290399,NA,3296202.45879731,NA,NA
4433,"Diisobutyl adipate","C14 H26 O4",-0.15,258.18307,259.19035,18.305,"mz_cloud",6689302.74746297,NA,NA,NA,NA,NA,NA,NA
1968,"Diltiazem","C22 H26 N2 O4 S",0.33,414.16147,415.16874,14.345,"kps_pharmaceuticals_oct22",23799780.2881845,NA,NA,NA,NA,NA,NA,NA
4478,"Dimenoxadol","C20 H25 N O3",0.66,327.18366,328.19094,16.915,"kps_psychoactive_substances_v2",NA,6476526.43391845,NA,4595578.68863482,5731700.72354025,4931170.82130401,3718379.68224989,NA
457,"Dipropyltryptamine","C16 H24 N2",-0.07,244.19393,245.20121,22.007,"kps_psychoactive_substances_v2",28329021.4414147,45239597.4362179,32346135.2603022,35411730.8214567,40953751.6282393,NA,12193916.7097371,68721070.4435577
2792,"Dipyridamole","C24 H40 N8 O4",-0.06,504.31722,505.3245,15.184,"kps_pharmaceuticals_oct22",NA,NA,NA,10699747.7242635,9079872.17879109,NA,NA,10768900.0977542
2768,"Dipyridamole","C24 H40 N8 O4",-0.06,504.31722,505.3245,18.672,"kps_pharmaceuticals_oct22",NA,1936384.62825063,NA,NA,NA,16362873.2346229,NA,NA
2394,"Dipyridamole","C24 H40 N8 O4",-0.29,504.31711,505.32438,16.385,"kps_pharmaceuticals_oct22",17834775.019208,NA,NA,NA,NA,NA,NA,NA
70,"Docosahexaenoic acid ethyl ester","C24 H36 O2",0.44,356.27169,357.27896,21.734,"mz_cloud",438475923.669576,75822309.6916584,22146626.3459655,68496169.3394325,111231948.045308,7485599.69316445,16288648.9687586,144539565.169156
109,"Docosanamide","C22 H45 N O",0.32,339.35022,340.3575,20.554,"mz_cloud",10760404.2446994,18011688.5514225,6363829.87259062,11220472.5702359,6501540.50109796,7632867.03818573,14971884.4571112,9755033.07735763
18,"Dodecyltrimethylammonium","C15 H33 N",-0.2,227.26125,228.26853,21.341,"mz_cloud",1550790723.695,409560374.345918,97161455.1615884,682632830.285648,592003848.100091,83010889.2660129,58365516.6027137,1500612545.4877
2454,"Dodine","C13 H29 N3",0.04,227.23616,228.24343,20.753,"mz_cloud",18787956.0911084,NA,NA,11345446.5850298,NA,NA,NA,NA
2093,"Dolutegravir","C20 H19 F2 N3 O5",0.14,419.12934,420.13661,15.951,"kps_pharmaceuticals_oct22",8895241.59764551,21497273.1402198,22109475.9183986,16414612.1254701,18867543.6438128,11819702.9930778,16105807.3964633,15388983.7533872
4590,"Dopexamine","C22 H32 N2 O2",0.5,356.24656,357.25383,22.126,"kps_pharmaceuticals_oct22",NA,NA,NA,NA,NA,NA,5947960.21430275,NA
2374,"Doxercalciferol","C28 H44 O2",0.2,412.33421,413.34149,24.389,"kps_pharmaceuticals_oct22",NA,NA,NA,NA,NA,20231582.7598603,NA,NA
3520,"Doxercalciferol","C28 H44 O2",-0.98,412.33373,413.341,23.287,"kps_pharmaceuticals_oct22",NA,2917141.00233099,NA,NA,NA,NA,NA,NA
1065,"Dromostanolone","C20 H32 O2",0.5,304.24038,305.24763,23.546,"kps_psychoactive_substances_v2",49410029.8821444,19289465.7644061,20014020.7753824,16644297.6114908,31018395.056402,NA,10358901.7807631,22929285.0453871
648,"Dromostanolone proprionate","C23 H36 O3",0.3,360.26655,361.27383,23.131,"kps_psychoactive_substances_v2",NA,79713586.6038956,9563684.90786372,81818803.5581133,72142518.0048433,NA,NA,57222543.2169009
4228,"Dronedarone","C31 H44 N2 O5 S",0.18,556.2972,557.30447,20.019,"kps_pharmaceuticals_oct22",NA,NA,NA,NA,NA,4252017.2496779,NA,NA
3128,"Drospirenone","C24 H30 O3",0.04,366.21951,367.22679,17.88,"kps_pharmaceuticals_oct22",NA,4743514.54993891,12133434.1444142,NA,NA,NA,NA,NA
64,"Drotaverine","C24 H31 N O4",-0.06,397.22529,398.23256,21.794,"kps_pharmaceuticals_oct22",125816645.568219,326814954.831347,591350461.112129,279903302.332482,319280993.790416,117286819.60101,179895469.29379,327678583.953091
770,"Efinaconazole","C18 H22 F2 N4 O",-0.32,348.17606,349.18333,1.334,"kps_pharmaceuticals_oct22",NA,71185241.3375053,NA,4139740.31451335,NA,8260748.23632533,8005916.6965175,NA
9,"Eicosapentaenoic acid ethyl ester","C22 H34 O2",0.21,330.25595,348.28977,19.007,"kps_pharmaceuticals_oct22",NA,1936137541.48561,834348492.153872,2615866017.06111,2891140256.81635,NA,NA,1200126900.02252
1674,"Eicosapentaenoic acid ethyl ester","C22 H34 O2",0.51,330.25605,331.26337,23.844,"kps_pharmaceuticals_oct22",28327041.4193154,NA,NA,NA,NA,NA,NA,NA
1219,"Elacytarabine","C27 H45 N3 O6",3.16,507.33244,508.33972,23.038,"kps_pharmaceuticals_oct22",4967933.33111882,33403809.8115455,19746701.8684774,20165479.49299,NA,9100493.62638244,13209846.7074978,34259816.104539
5,"Elaidoylamide","C18 H35 N O",-0.17,281.27182,282.27908,23.364,"kps_pharmaceuticals_oct22",2768045053.25603,4031630883.50086,4405980833.4941,5151190833.23014,3211709168.2312,5816884186.90496,3483231452.35889,3303933280.96441
2984,"Ellagic acid","C14 H6 O8",0.51,302.00642,303.0137,13.075,"kps_pharmaceuticals_oct22",11863431.1902891,14501164.8290154,7397566.17109319,13451759.9016358,NA,NA,NA,NA
3279,"Elvitegravir","C23 H23 Cl F N O5",0.09,447.12492,448.1322,19.812,"kps_pharmaceuticals_oct22",NA,11317073.8038729,2239213.85371258,3811495.03098676,7365535.29572518,NA,NA,NA
1154,"Enalapril acid","C18 H24 N2 O5",4.19,348.16998,349.17726,19.391,"kps_pharmaceuticals_oct22",38684112.8559291,24865361.4143418,35604943.2574659,21540316.0110275,25365431.4538654,14712780.8336531,30580883.5802203,29167823.6511845
3523,"Enzacamene","C18 H22 O",0.06,254.16708,255.17436,20.556,"kps_pharmaceuticals_oct22",NA,2305143.92836507,3447858.77476155,6360824.76704633,3446867.46929944,NA,11081283.3773913,NA
151,"Eplerenone","C24 H30 O6",0.27,414.20435,415.21164,18.4,"kps_pharmaceuticals_oct22",NA,NA,NA,287560626.893596,NA,NA,NA,NA
47,"Eplerenone","C24 H30 O6",-0.24,414.20414,415.21151,18.729,"kps_pharmaceuticals_oct22",2989449.84422431,199256579.754733,179625874.334162,NA,NA,201850679.384392,187339006.180998,NA
328,"Eplerenone","C24 H30 O6",0.17,414.20431,415.21158,17.736,"kps_pharmaceuticals_oct22",NA,NA,NA,NA,152523746.911425,NA,NA,NA
363,"Eplerenone","C24 H30 O6",0.05,414.20426,415.21154,17.793,"kps_pharmaceuticals_oct22",NA,NA,NA,NA,NA,NA,NA,141227856.20334
133,"Erucamide","C22 H43 N O",0.58,337.33466,338.34198,23.434,"mz_cloud",30074918.5988956,7933933.38114745,5495555.89478598,9781803.73203254,11765621.2749628,9400755.57492357,11381766.5490185,NA
877,"Erythromycin","C37 H67 N O13",-3.22,733.45888,734.46615,23.894,"itn_kps",25328536.0756142,45478390.7920963,61235646.6517153,36716298.0611977,32764993.1797189,31973624.3901352,46211220.3519412,NA
944,"Erythromycin B_BTM01919","C37 H65 N O12",-3.22,715.44838,716.45566,17.793,"itn_cyp_metabolites",NA,NA,NA,NA,57396057.1428511,NA,NA,43054320.5295915
4206,"Esculetin","C9 H6 O4",0.01,178.02661,179.03389,20.071,"mz_cloud",NA,5036784.99326015,NA,4999919.96293798,4591154.12112491,3198137.06596151,NA,4117675.02240792
2117,"Estradiol","C20 H26 O3",0.23,314.18827,315.19554,20.642,"kps_pharmaceuticals_oct22",NA,NA,6057063.74321835,23482689.6417974,NA,NA,NA,NA
1628,"Estradiol","C20 H26 O3",0.66,314.1884,315.19568,20.323,"kps_pharmaceuticals_oct22",NA,NA,NA,NA,NA,NA,33057121.0912541,NA
3103,"Estradiol","C20 H26 O3",0.69,314.18841,315.19569,20.481,"kps_pharmaceuticals_oct22",10706579.2060423,5436738.0054582,NA,NA,13655306.9794042,NA,NA,10787464.3747458
2254,"Estriol","C18 H24 O3",0.1,288.17257,289.17985,19.807,"kps_pharmaceuticals_oct22",21653928.6207761,NA,NA,NA,NA,NA,NA,NA
1658,"Ethyl-2-amino-1-cyclohexene-1-carboxylate","C9 H15 N O2",0.07,169.11029,170.11757,10.444,"mz_cloud",30390056.5092784,NA,8587893.07895035,NA,NA,NA,16167422.200765,NA
1517,"Ethyl-2-amino-1-cyclohexene-1-carboxylate","C9 H15 N O2",0.09,169.11029,170.11757,9.69,"mz_cloud",NA,10919315.4326376,NA,NA,NA,NA,NA,34564181.7223632
17,"Ethylenediaminetetraacetic acid (EDTA)","C10 H16 N2 O8",-0.44,292.09054,293.09782,1.544,"kps_pharmaceuticals_oct22",257050121.819633,44370622.8462764,37698316.3607645,15174988.5378939,763957128.010183,18823057.628065,17171204.3134289,526623395.210331
334,"Ethylphosphate","C2 H7 O4 P",1.19,126.00834,127.01562,5.659,"kps_pharmaceuticals_oct22",150264596.426508,47898220.4962953,96519710.7110941,91269814.0166082,57127235.5619614,81499794.0341896,73782977.7628653,60581393.8825218
241,"Etomidate","C14 H16 N2 O2",-0.07,244.12116,245.12844,16.006,"kps_pharmaceuticals_oct22",NA,NA,184053662.425792,NA,NA,6831700.4762744,NA,NA
2570,"Eugenol","C10 H12 O2",0.12,164.08375,165.09103,22.402,"kps_pharmaceuticals_oct22",NA,8937706.2750981,NA,6072810.93184656,16145552.9875828,18037780.9447552,16752093.2790762,13366256.3993759
1550,"Exemestane","C20 H24 O2",0.49,296.17777,297.18505,17.103,"kps_pharmaceuticals_oct22",NA,NA,NA,12619065.6099071,34663975.485712,7096883.75473837,19454059.2819966,8647241.77621996
3253,"Fenbendazole","C15 H13 N3 O2 S",0.43,299.07298,300.08025,17.857,"mz_cloud",NA,NA,12635427.412426,6253549.659627,NA,NA,NA,NA
4037,"Fenbendazole","C15 H13 N3 O2 S",0.42,299.07297,300.08025,18.478,"mz_cloud",8552070.03465361,910239.163707714,NA,NA,NA,NA,NA,NA
519,"Fenpropidin","C19 H31 N",0.06,273.24566,274.25294,21.085,"kps_pharmaceuticals_oct22",NA,6388971.19624985,5140055.97354788,NA,12562357.557831,10787109.0053357,103609753.750633,NA
1732,"Fenspiride","C15 H20 N2 O2",-0.12,260.15245,261.15972,14.567,"kps_pharmaceuticals_oct22",13608012.1495547,NA,NA,NA,NA,NA,NA,NA
3147,"Fesoterodine","C26 H37 N O3",-0.02,411.27734,412.28461,19.174,"kps_pharmaceuticals_oct22",NA,NA,NA,5013203.60722963,NA,NA,NA,5675965.79167166
956,"Fesoterodine","C26 H37 N O3",0.09,411.27738,412.28466,19.779,"kps_pharmaceuticals_oct22",56728095.2605857,NA,NA,NA,NA,NA,NA,NA
81,"Fexofenadine","C32 H39 N O4",-0.08,501.28787,502.29515,17.461,"kps_pharmaceuticals_oct22",NA,NA,503013376.187834,159322383.669892,65160320.7744213,NA,NA,163097737.369905
250,"Fexofenadine","C32 H39 N O4",-0.1,501.28786,502.29514,15.413,"kps_pharmaceuticals_oct22",57749305.4611474,55476277.7649545,NA,NA,NA,10590126.4470577,NA,NA
366,"Fexofenadine","C32 H39 N O4",-0.06,501.28788,502.29515,19.143,"kps_pharmaceuticals_oct22",NA,NA,NA,NA,NA,NA,113789701.443255,NA
2148,"Fluorchinolone_BTM04503","C24 H32 F2 O6",1.99,454.2176,455.22487,18.449,"itn_cyp_metabolites",7504612.27074747,NA,NA,NA,NA,NA,NA,NA
2247,"Fluorescein","C20 H12 O5",0.71,332.06871,333.07599,15.388,"itn_cyp_metabolites",NA,13555601.8989288,NA,NA,NA,NA,14218625.5824346,NA
1368,"Fluoxetine","C17 H18 F3 N O",0.38,309.13417,310.14144,18.488,"kps_pharmaceuticals_oct22",NA,1140898.2597485,25208020.1067214,24485905.4130962,24680987.897988,NA,NA,19486793.480422
3679,"Fluoxetine","C17 H18 F3 N O",0.6,309.13424,310.14151,19.506,"kps_pharmaceuticals_oct22",NA,NA,NA,NA,NA,NA,10224875.2143226,NA
4238,"Fluprednisolone","C21 H27 F O5",-0.45,378.18408,379.19136,18.975,"itn_cyp_metabolites",NA,NA,NA,7626855.69553833,NA,NA,NA,NA
568,"Gabapentin","C9 H17 N O2",0.06,171.12594,172.13323,22.378,"kps_pharmaceuticals_oct22",36609284.5905367,NA,4977627.57676531,NA,NA,NA,NA,NA
105,"Gamolenic acid","C18 H30 O2",-0.04,278.22457,279.23185,19.599,"kps_pharmaceuticals_oct22",NA,NA,NA,17137354.0499292,NA,NA,NA,NA
147,"Gamolenic acid","C18 H30 O2",0.21,278.22464,279.23191,21.406,"kps_pharmaceuticals_oct22",NA,31021662.4650552,25457885.300273,NA,NA,14305382.1522234,NA,37695325.7641177
449,"Gamolenic acid","C18 H30 O2",0.21,278.22464,279.2319,23.054,"kps_pharmaceuticals_oct22",NA,NA,NA,NA,NA,NA,20228740.0254864,NA
155,"Gamolenic acid","C18 H30 O2",0.36,278.22468,279.23196,21.618,"kps_pharmaceuticals_oct22",NA,NA,NA,NA,17077531.1225271,NA,NA,NA
125,"Gamolenic acid","C18 H30 O2",0.12,278.22461,279.23188,19.977,"kps_pharmaceuticals_oct22",330232554.84941,NA,NA,NA,NA,NA,NA,NA
1837,"Ganaxolone","C22 H36 O2",0.74,332.27178,355.26097,24.492,"kps_pharmaceuticals_oct22",28488875.0343793,NA,NA,NA,NA,NA,NA,NA
178,"Gentian violet","C25 H29 N3",0.1,371.23618,372.24346,19.995,"mz_cloud",152728119.645423,93499020.2115944,12218617.468109,38452574.5459104,31701911.2962887,112298419.476397,9359290.14851746,35456932.4256799
4976,"Gestrinone","C21 H24 O2",0.4,308.17775,309.18503,17.387,"kps_pharmaceuticals_oct22",NA,NA,NA,4298969.98376446,NA,NA,NA,NA
3861,"Glycerophospho-N-palmitoyl ethanolamine","C21 H44 N O7 P",0.12,453.28559,454.29287,22.624,"mz_cloud",NA,NA,6714928.86696703,NA,2838670.09705764,NA,NA,NA
4161,"Glycocholic acid","C26 H43 N O6",0.01,465.30904,466.31628,19.189,"kps_pharmaceuticals_oct22",NA,NA,NA,7579969.79402566,NA,NA,NA,NA
1763,"Glycocholic acid","C26 H43 N O6",-0.09,465.309,466.31629,19.767,"kps_pharmaceuticals_oct22",29966820.2036513,NA,NA,NA,NA,NA,NA,NA
1506,"Glycyrrhetinic acid","C30 H46 O4",-0.8,470.33923,471.34651,22.486,"kps_pharmaceuticals_oct22",8044991.85349424,22766965.7903027,NA,16881211.9813455,NA,21761859.8047808,35896516.3736242,19715050.1307045
1722,"Guanine","C5 H5 N5 O",0.46,151.04948,152.05676,4.408,"kps_pharmaceuticals_oct22",30813071.7164984,NA,NA,NA,NA,NA,NA,NA
14,"Hexadecanamide","C16 H33 N O",-0.38,255.25612,256.26339,23.086,"mz_cloud",1082677074.73676,1368035911.09008,1705590416.61955,1785031008.45385,918056009.23637,1751854272.54302,1246706427.71188,1112739387.61586
2054,"Hydromorphone","C17 H19 N O3",0.2,285.13655,286.14383,18.342,"itn_cyp_metabolites",8768129.05897585,24476325.5042976,7326830.71351202,NA,NA,5263574.30517774,NA,NA
3732,"Hydromorphone","C17 H19 N O3",0.12,285.13653,286.1438,17.729,"itn_cyp_metabolites",NA,NA,NA,NA,NA,NA,NA,2100717.5692551
122,"Hydroxychloroquine, (R)-","C18 H26 Cl N3 O",0.75,335.17669,336.18397,19.406,"kps_pharmaceuticals_oct22",NA,NA,NA,NA,NA,334156721.924322,304084453.627815,NA
193,"Hydroxychloroquine, (R)-","C18 H26 Cl N3 O",0.73,335.17668,336.18396,17.904,"kps_pharmaceuticals_oct22",NA,NA,NA,NA,121082495.431791,NA,NA,NA
351,"Hydroxychloroquine, (R)-","C18 H26 Cl N3 O",0.75,335.17669,336.18397,16.056,"kps_pharmaceuticals_oct22",21648270.9180256,NA,NA,NA,NA,NA,NA,NA
1415,"Hydroxychloroquine, (R)-","C18 H26 Cl N3 O",0.65,335.17666,336.18393,18.644,"kps_pharmaceuticals_oct22",NA,38409615.8633332,NA,NA,NA,NA,NA,NA
278,"Hydroxychloroquine, (R)-","C18 H26 Cl N3 O",0.64,335.17666,336.18393,16.772,"kps_pharmaceuticals_oct22",NA,NA,112334504.793489,NA,NA,NA,NA,NA
1695,"Hydroxyprogesterone caproate","C27 H40 O4",-0.06,428.29264,429.29991,21.591,"kps_pharmaceuticals_oct22",NA,31260451.3728907,NA,NA,NA,NA,NA,NA
2636,"Hydroxystilbamidine","C16 H16 N4 O",-4.57,280.13113,281.13841,18.707,"kps_pharmaceuticals_oct22",NA,NA,NA,7304448.57989927,NA,NA,NA,NA
322,"Hyperforin","C35 H52 O4",1.64,536.38744,537.39472,24.116,"itn_kps",NA,NA,NA,NA,NA,NA,35542864.3308441,154867015.469417
792,"Hyperforin","C35 H52 O4",1.82,536.38754,537.39481,24.381,"itn_kps",NA,NA,18444093.5381826,NA,NA,NA,NA,NA
