"peak_number","name","formula","annot_delta_mass_ppm","calc_mw","m_z","rt_min","mass_list_name","lysimeter_control_op_260122","thailand_sample_8","landfill_eg_0_3y","landfill_eg_3_10y","landfill_eg_y104","landfill_op_y104","lysimeter_control_eg_171221","lysimeter_control_eg_250122","lysimeter_control_op_171221","lysimeter_eg_03y_171221","lysimeter_eg_03y_250122","lysimeter_eg_0_3y_14062022","lysimeter_op_10y_140622","lysimeter_op_10y_171222","lysimeter_control_op_140622","lysimeter_eg_3_10y_171221","lysimeter_op_0_3y_171221","thailand_sample_7","crh_fst1","crh_fst5","crh_inlet","lysimeter_eg3_104_140622","lysimeter_eg3_104_250122_20221003231510","lysimeter_op3_104_140622","crh_fst2","crh_fst3","crh_fst4","lysimeter_control_eg_140622","lysimeter_eg104_140622","lysimeter_eg3_104_250122","lysimeter_eg_104_171221","lysimeter_op0_34_140622","lysimeter_op_0_3y_250122","lysimeter_op_3_10y_171221","lysimeter_op_3_10y_250122","lysimeter_op_7104_250122","thailand_sample_1","thailand_sample_2","thailand_sample_3","thailand_sample_5","thailand_sample_6","thailand_sample_4"
5755,"N1-(5-methylisoxazol-3-yl)-2-morpholinoacetamide","C10 H15 N3 O3",0.45,225.11144,226.11871,5.961,"mz_cloud",NA,NA,NA,NA,189945.503457405,NA,NA,NA,NA,175212.490665647,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2237,"N1-[2-oxo-6-(1H-pyrrol-1-yl)-2H-chromen-3-yl]acetamide","C15 H12 N2 O3",0.59,268.08495,269.09223,14.969,"mz_cloud",NA,2836498.88773248,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2442764.20785601,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7704,"N1-[5-(3,4-Difluorophenyl)-3-phenyl-2,3-dihydro-1,3-thiazol-2-yliden]aniline","C21 H14 F2 N2 S",-3.22,364.0834,365.09068,10.232,"mz_cloud",NA,NA,NA,274929.541307092,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,131898.585534338,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5609,"N3-(2-methoxyphenyl)-5-(2-phenyleth-1-ynyl)nicotinamide","C21 H16 N2 O2",-3.72,328.11996,329.12723,16.589,"mz_cloud",NA,NA,843462.83367583,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,103753.838091961,NA,143422.313852477,NA,NA,NA,NA,NA,NA,NA,NA
1897,"NKK","C16 H32 N6 O5",0.89,388.24376,389.25104,14.92,"mz_cloud",NA,NA,NA,NA,NA,NA,3005707.39127456,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,615099.874199441,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1293648.40945082,NA,NA,NA,NA,NA,NA,NA,NA,NA
5405,"NP-003800","C10 H15 N O3",0.16,197.10522,198.1125,9.9,"mz_cloud",NA,NA,NA,897965.773674124,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2197,"NP-003800","C10 H15 N O3",0.33,197.10526,198.1125,1.447,"mz_cloud",NA,2362171.9464728,NA,NA,NA,NA,NA,NA,NA,836520.349922978,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1607,"NP-003800","C10 H15 N O3",0.09,197.10521,198.11249,6.152,"mz_cloud",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,109733.521721435,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
740,"NP-003800","C10 H15 N O3",0.04,197.1052,198.11248,2.011,"mz_cloud",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8697266.48992461,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4596,"NP-005394","C18 H30 O7",-0.04,358.19914,381.18837,13.802,"mz_cloud",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,339730.032463799,NA,NA,636689.562984864,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1172745.73296163,NA,NA,NA,219871.624329609,680569.961860963,NA,NA,NA
3457,"NP-005982","C22 H34 O4",-0.01,362.2457,385.23502,16.51,"mz_cloud",NA,NA,NA,1734115.8523451,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
521,"NP-006862","C20 H32 O4",-0.4,336.22993,359.21915,19.186,"mz_cloud",NA,NA,NA,12106402.1709268,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1490,"NP-006862","C20 H32 O4",0.09,336.23009,359.21931,20.102,"mz_cloud",NA,NA,NA,NA,NA,533269.82826281,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2191,"NP-006862","C20 H32 O4",0.09,336.23009,359.2193,19.041,"mz_cloud",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1246315.3757505,NA,NA,NA
356,"NP-011220","C11 H18 N2 O2",0.09,210.13685,211.14412,9.341,"mz_cloud",NA,NA,NA,682386.902098045,NA,NA,2029151.38920384,NA,8670167.34501324,950057.746237081,NA,NA,NA,163168.162854173,NA,NA,17215159.4324753,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5965207.28428183,NA,NA,NA,NA,NA,NA,NA,NA
5011,"NP-011548","C18 H34 O3",0.36,298.2509,299.25823,20.284,"mz_cloud",537532.251916656,NA,NA,NA,470777.987748842,388124.044698147,NA,NA,502794.840369278,535883.601576809,NA,NA,NA,NA,482004.414979278,NA,1029860.72209971,NA,539717.276090924,501415.025634489,731372.033225462,NA,476221.988271181,NA,NA,NA,NA,NA,NA,NA,453655.783806515,578341.30496282,477805.019759988,835017.377309043,NA,NA,NA,NA,NA,448123.158174812,NA,NA
2593,"NP-015145","C14 H13 N O2",0.31,227.0947,228.10198,13.08,"mz_cloud",NA,2394950.66252448,NA,NA,NA,NA,NA,NA,364087.677218785,NA,NA,NA,NA,NA,NA,NA,386127.13640863,2443289.35637749,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,283952.702666122,NA,NA,NA,NA,NA,NA,NA,NA
3435,"NP-016455","C11 H18 N2 O4",0.62,242.12681,243.13408,5.072,"mz_cloud",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,844975.165823388,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5249,"NP-016455","C11 H18 N2 O4",0.55,242.12679,265.11599,9.856,"mz_cloud",NA,NA,945434.521313089,NA,269130.181370566,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4744,"NP-016455","C11 H18 N2 O4",0.56,242.12679,243.13407,1.288,"mz_cloud",NA,NA,NA,NA,NA,NA,1127931.19878135,334642.81123237,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4135,"NP-016455","C11 H18 N2 O4",0.54,242.12679,243.13407,5.495,"mz_cloud",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1372653.4368738,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
101,"NP-018131","C15 H28 O7",-0.17,320.18345,343.17267,12.727,"mz_cloud",NA,NA,53611727.494402,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3688,"NP-018609","C16 H30 O10",0.12,382.18394,405.17316,10.131,"mz_cloud",NA,NA,NA,NA,NA,NA,NA,NA,NA,1588882.11667876,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2387,"NP-019410","C30 H42 O6",0.33,498.2983,521.28754,18.438,"mz_cloud",NA,NA,NA,2656361.40215725,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1079,"NP-019547","C17 H26 O5",0.35,310.17813,311.18546,16.674,"mz_cloud",NA,NA,5995227.15234817,1639021.4495212,709677.53263733,617401.796552418,578644.364126867,167989.898532718,500956.683065113,1508961.35130272,345554.197003687,272343.379616862,NA,259407.036814208,NA,553503.128405264,392228.130186206,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,248270.095444512,NA,272968.096296871,NA,NA,NA,NA,NA,NA,NA,NA
2975,"NP-020240","C14 H20 O3",0.58,236.14138,237.14864,15.946,"mz_cloud",NA,NA,2082629.49632655,648388.214105402,269609.076221243,284120.340077984,787698.923644125,NA,242859.440465501,1174593.07585061,184367.358239879,NA,NA,325194.376640853,NA,650893.142366539,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1393,"NP-020273","C17 H26 O5",0.37,310.17814,333.16736,15.889,"mz_cloud",NA,NA,4717032.8214775,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5932,"NP-020403","C17 H20 O3",0.43,272.14136,273.14865,16.217,"mz_cloud",NA,NA,212387.177831825,735364.587951395,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6045,"NP-020403","C17 H20 O3",0.37,272.14134,273.14862,13.067,"mz_cloud",NA,NA,NA,NA,NA,NA,NA,NA,NA,712516.149291551,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5705,"NP-020583","C30 H52 O6",0.16,508.37647,531.36569,18.435,"mz_cloud",NA,763669.518163201,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,810317.161083748,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3151,"NP-020713","C20 H26 O4",0.02,330.18312,331.19039,15.291,"mz_cloud",NA,NA,NA,1931873.84886587,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3649,"NP-020713","C20 H26 O4",-0.2,330.18304,331.19028,16.043,"mz_cloud",1611880.18757741,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4183,"NP-020713","C20 H26 O4",0.5,330.18328,331.19055,12.936,"mz_cloud",NA,NA,NA,NA,NA,NA,NA,NA,NA,1344957.61665987,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7209,"NP-022531","C20 H34 O3",-0.13,322.25075,323.25806,22.508,"mz_cloud",NA,NA,407060.657564218,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6203,"Nabilone","C24 H36 O3",-0.21,372.26637,373.27365,18.922,"kps_psychoactive_substances_v2",NA,NA,NA,NA,NA,NA,NA,NA,368847.203474376,NA,NA,NA,NA,NA,NA,NA,671745.984474751,NA,NA,NA,579871.310265105,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,393889.986512548,NA,NA,NA,NA,NA,NA,NA,NA
5299,"Nabumetone","C15 H16 O2",0.61,228.11517,229.12244,13.96,"kps_pharmaceuticals_oct22",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,928785.852621345,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7275,"Nalorphine","C19 H21 N O3",0.11,311.15218,312.15945,9.129,"kps_psychoactive_substances_v2",NA,NA,NA,388420.363706702,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4970,"Nanafrocin","C16 H14 O6",0.63,302.07923,325.06845,12.414,"kps_pharmaceuticals_oct22",NA,NA,NA,1045276.16056841,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5089,"Naphazoline","C14 H14 N2",0.61,210.11583,233.10505,12.104,"kps_pharmaceuticals_oct22",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,811588.951763343,NA,NA,749842.406538163,626393.301534967,630719.699779407,565111.568477847,NA,NA,695541.86362328,645816.280444731,672773.263862274,NA,NA,NA,719089.298309115,NA,NA,NA,839092.629174241,760396.334886424,782826.636636766,998127.360202168,721447.286165742,889812.006145998,757224.790419963,815316.675526429
7985,"Naphazoline","C14 H14 N2",0.52,210.11581,211.12301,13.206,"kps_pharmaceuticals_oct22",157844.917582825,NA,NA,NA,158836.369502071,NA,NA,NA,144621.673701844,NA,168333.794038094,186982.983127306,186297.534145377,148256.063077508,162706.363265115,NA,144754.814169823,NA,NA,NA,NA,NA,195307.02439413,NA,NA,NA,NA,NA,NA,NA,NA,213658.336792354,185177.311132765,152278.37573281,NA,NA,NA,NA,NA,NA,NA,NA
6451,"Naphazoline","C14 H14 N2",0.58,210.11582,233.10505,12.97,"kps_pharmaceuticals_oct22",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,537182.912276762,508309.073489298,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4929,"Naphazoline","C14 H14 N2",0.21,210.11574,211.12302,11.561,"kps_pharmaceuticals_oct22",NA,618874.351482913,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1053573.15175326,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6225,"Neostigmine","C12 H18 N2 O2",0.38,222.13691,223.14419,14.243,"mz_cloud",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,126980.942254105,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6384,"Nepafenac","C15 H14 N2 O2",0.35,254.10562,255.11289,11.053,"kps_pharmaceuticals_oct22",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,483816.102268435,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5146,"Nepafenac","C15 H14 N2 O2",0.43,254.10564,255.11291,10.271,"kps_pharmaceuticals_oct22",NA,795118.06969711,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1708,"Netilmicin","C21 H41 N5 O7",-2.65,475.29934,476.30662,11.009,"kps_pharmaceuticals_oct22",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,361927.387171325,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1406,"Netilmicin","C21 H41 N5 O7",-2.35,475.29948,476.30676,10.609,"kps_pharmaceuticals_oct22",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,290027.492805383,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6361,"Netivudine","C12 H14 N2 O6",0.54,282.08534,283.09261,2.344,"kps_pharmaceuticals_oct22",NA,NA,NA,NA,NA,NA,NA,NA,365626.685042714,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2046,"Netivudine","C12 H14 N2 O6",0.45,282.08531,283.0926,1.321,"kps_pharmaceuticals_oct22",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1417535.79739433,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,143534.7392913,NA,NA,NA,NA,NA,NA
571,"Netivudine","C12 H14 N2 O6",0.53,282.08533,283.09261,1.534,"kps_pharmaceuticals_oct22",NA,10949047.7882285,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11177520.57488,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4584,"Niacinamide","C6 H6 N2 O",-0.33,122.04797,123.0554,1.921,"kps_pharmaceuticals_oct22",NA,NA,NA,168141.201086126,NA,NA,NA,NA,677938.167470542,NA,NA,354323.06007713,194830.952775689,NA,NA,NA,NA,NA,NA,NA,266408.238272635,576555.235240924,150332.010251407,135288.468156511,NA,NA,NA,700473.515047483,1176102.19091448,323375.872799392,NA,NA,NA,NA,NA,NA,NA,NA,677036.923925035,NA,NA,NA
7299,"Niacinamide","C6 H6 N2 O",-2.74,122.04768,123.0554,1.332,"kps_pharmaceuticals_oct22",NA,NA,NA,NA,NA,NA,NA,163254.489313091,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1446,"Nicotine","C10 H14 N2",0.12,162.11572,163.12299,1.951,"kps_pharmaceuticals_oct22",447709.977402217,NA,NA,890179.785578199,NA,NA,815146.628775267,NA,1597092.33879532,NA,NA,NA,NA,422510.974710421,NA,NA,4523705.4882124,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1098295.59463483,2190766.27479986,NA,NA,NA,NA,NA,NA,NA,NA
2103,"Nicotinic acid","C6 H5 N O2",0.91,123.03214,124.03942,1.748,"kps_pharmaceuticals_oct22",NA,NA,NA,NA,1929651.15520896,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1452598.37641551,NA,NA,NA,370517.964196021,NA,NA,NA,NA,NA,NA,351577.181059454,NA,NA,NA,507547.124132299,570739.981341347,901295.857542834,NA,NA,NA,NA,NA,NA,NA,NA
5687,"Nicotinic acid","C6 H5 N O2",0.6,123.0321,124.03941,1.291,"kps_pharmaceuticals_oct22",222358.004415942,NA,NA,NA,NA,NA,NA,NA,NA,NA,168025.565959677,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7028,"Nicotinuric acid","C8 H8 N2 O3",-0.16,180.05346,181.06073,1.307,"mz_cloud",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,164687.169795248,NA,NA,NA,NA,NA,NA
1412,"Nicotinuric acid","C8 H8 N2 O3",0.13,180.05352,181.06079,5.267,"mz_cloud",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,207637.266331303,NA
1981,"Nifedipine","C17 H18 N2 O6",0.01,346.11649,347.12377,12.618,"kps_pharmaceuticals_oct22",NA,NA,NA,3238589.01931599,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
701,"Nifedipine","C17 H18 N2 O6",-0.08,346.11646,347.12374,8.781,"kps_pharmaceuticals_oct22",NA,7796720.17605546,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,132070.939386863,9153869.0083004,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8088,"Niflumic acid","C13 H9 F3 N2 O2",-2.84,282.06081,283.06809,5.41,"kps_pharmaceuticals_oct22",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,145490.73876221,NA,151238.979642368,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,154404.654669796,NA,NA,NA,127145.999029179,153173.461763065,164536.21444605,NA,174850.44272273,178270.461082441,NA,NA,NA,NA,NA,NA,NA,NA,NA
7303,"Nimesulide","C13 H12 N2 O5 S",0.25,308.04677,309.05405,11.719,"kps_pharmaceuticals_oct22",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,379666.927759166,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2641,"Nimustine","C9 H13 Cl N6 O2",3.73,272.07987,273.08714,7.7,"kps_pharmaceuticals_oct22",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2389124.56437617,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5343,"Niperotidine","C20 H26 N4 O5 S",-1.17,434.16188,435.16916,15.21,"kps_pharmaceuticals_oct22",NA,NA,NA,915813.207539145,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6249,"Niperotidine","C20 H26 N4 O5 S",-0.88,434.16201,435.16928,15.804,"kps_pharmaceuticals_oct22",NA,562115.94595463,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,511125.240621616,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
580,"Niraparib","C19 H20 N4 O",-4.17,320.16238,343.15161,12.972,"kps_pharmaceuticals_oct22",NA,NA,11010075.4252095,NA,2582112.60749026,NA,1645679.44127378,334530.723467095,NA,3418397.55574762,2713046.26270206,2018579.6489952,NA,1760005.17264485,655864.749944621,2430635.75529863,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,594418.599700137,NA,405921.864762847,372236.331037488,959541.326428313,NA,NA,NA,460774.991983691,NA,NA,NA,NA,NA,NA
5535,"Nitroxoline","C9 H6 N2 O3",0.2,190.03788,191.04514,2.84,"kps_pharmaceuticals_oct22",NA,NA,NA,NA,NA,NA,301577.209342731,NA,187763.97271423,353495.183161105,NA,NA,NA,NA,NA,NA,249767.078092108,861094.808540499,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7475,"Nomegestrol acetate","C23 H30 O4",-0.08,370.21438,371.22166,11.733,"kps_pharmaceuticals_oct22",NA,NA,NA,NA,NA,NA,NA,NA,125993.912833987,NA,NA,NA,NA,NA,NA,NA,335773.090834731,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5975,"Nonanedioic acid","C9 H16 O4",-3.12,188.10427,415.17106,1.3,"kps_pharmaceuticals_oct22",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,503615.620617846,NA
8354,"Noopept","C17 H22 N2 O4",0.06,318.15798,319.16525,5.101,"kps_psychoactive_substances_v2",NA,NA,NA,NA,NA,NA,NA,NA,NA,127985.472896825,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
